celeb_id,name,gender
1,任正非,Male
2,何炅,Male
3,余华,Male
4,全红婵,Female
5,刘亦菲,Female
6,刘强东,Male
7,刘翔,Male
8,华春莹,Female
9,周迅,Female
10,奚梦瑶,Female
11,姚明,Male
12,孙俪,Female
13,孙杨,Male
14,孙燕姿,Female
15,孙颖莎,Female
16,宋茜,Female
17,屠呦呦,Female
18,张怡宁,Female
19,成龙,Male
20,撒贝宁,Male
21,易烊千玺,Male
22,杨幂,Female
23,杨紫,Female
24,杨颖,Female
25,林更新,Male
26,王一博,Male
27,王菲,Female
28,罗翔,Male
29,苏炳添,Male
30,范冰冰,Female
31,莫言,Male
32,董卿,Female
33,董明珠,Female
34,贾玲,Female
35,赵丽颖,Female
36,迪丽热巴,Female
37,邓超,Male
38,那英,Female
39,郎朗,Male
40,郭晶晶,Female
41,金星,Female
42,钟南山,Male
43,陈奕迅,Male
44,雷军,Male
45,韩红,Female
46,马云,Male
47,马龙,Male
48,魏大勋,Male
49,鹿晗,Male
50,黄晓明,Male
