celeb_id,name,source_file,n_blocks,full_chars,selected_chars,selected_rank,selected_text
1,任正非,1_data/ChineseStimuli/CelebrityText/任正非.txt,155,13440,94,1,任正非，1944年10月25日出生于贵州省安顺市镇宁县 ，祖籍浙江省浦江县黄宅镇 ，汉族 ，中共党员 ，毕业于重庆建筑工程学院 ，企业家、华为公司创始人，华为技术有限公司董事、首席执行官（CEO） 。
2,何炅,1_data/ChineseStimuli/CelebrityText/何炅.txt,56,8994,273,3,1992年被保送至北京外国语大学。1994年凭借自编自演的小品《渗透》在央视大学生晚会上获得关注。1995年主持央视少儿益智节目《大风车》，并在之后正式开始主持生涯。1998年开始，连续24年主持明星综艺舞台秀《快乐大本营》。2003年主演话剧《想吃麻花现给你拧》。2004年发布个人单曲《栀子花开》；随后，获得第22届中国电视金鹰奖优秀主持人奖。2005年主持音乐选秀节目《超级女声》。2006年主演话剧《暗恋桃花源》。2007年主持音乐选秀节目《快乐男声》与舞蹈真人秀《舞动奇迹》。2010年在第25届中国电视金鹰奖颁奖礼上获得优秀主持人奖。
3,余华,1_data/ChineseStimuli/CelebrityText/余华.txt,110,10279,86,2,余华，汉族，1960年4月3日出生于浙江省杭州市，浙江嘉兴人，祖籍山东高唐， 澳门城市大学荣誉博士，澳门城市大学教授，中国当代作家，中国作家协会委员会委员。北京师范大学教授。
4,全红婵,1_data/ChineseStimuli/CelebrityText/全红婵.txt,49,7186,470,2,2020年8月，全红婵获得广东省青少年跳水锦标赛共5项冠军1项亚军； 10月，全红婵夺得2020全国跳水冠军赛暨东京奥运会、世界杯选拔赛女子单人10米跳台冠军。 2021年3月，全红婵获2021年中国跳水明星赛女子单人、双人十米跳台亚军； 5月，全红婵以440.85分蝉联2021年全国跳水冠军赛暨东京奥运会选拔赛、全运会跳水资格赛女子单人十米跳台冠军； 8月，全红婵以五跳三跳满分总466.2分创女子10米跳台历史最高分纪录夺得2020东京奥运会跳水女子单人10米跳台金牌， 并被共青团中央、全国青联授予“中国青年五四奖章”； 9月，全红婵连夺中华人民共和国第十四届运动会跳水女子单人10米跳台金牌、跳水女子团体金牌， 并被中华全国总工会授予全国五一劳动奖章。 2022年6月，全红婵在2022年世界游泳锦标赛中勇夺跳水3米板/10米台混合全能金牌、女子单人十米跳台银牌、女子双人十米跳台金牌， 实现了奥运会、世锦赛和世界杯的金牌大满贯； 9月，国家体育总局授予全红婵“国际级运动健将”称号。 2023年10月，全红婵获得杭州第19届亚运会女子10米跳台冠军。
5,刘亦菲,1_data/ChineseStimuli/CelebrityText/刘亦菲.txt,55,7136,347,3,2002年，因出演民国剧《金粉世家》中白秀珠一角踏入演艺圈 。2003年，凭借武侠剧《天龙八部》中王语嫣一角提名第1届电视剧风云盛典古装剧最佳女演员 。2004年，凭借仙侠剧《仙剑奇侠传》赵灵儿一角获得高人气与关注度 。2005年，因在武侠剧《神雕侠侣》饰演小龙女一角受到广泛关注 。2006年，发行个人首张同名专辑《刘亦菲》和日语专辑《AllMyWords》 ；同年，成为金鹰节史上第一位金鹰女神 。2008年起，将其演艺事业的重心转向大银幕，并凭借好莱坞电影《功夫之王》成为首位荣登IMDB电影新人排行榜榜首的亚洲女星 。2009年，获封“四小花旦”之一的称号 。2012年，获得第24届香港专业电影摄影师学会最具魅力女演员奖 。2014年，凭借古装片《铜雀台》中灵雎一角获第5届澳门国际电影节最佳女主角奖 。
6,刘强东,1_data/ChineseStimuli/CelebrityText/刘强东.txt,130,9234,94,1,刘强东，男，汉族，1974年2月14日出生于江苏宿迁 ，祖籍湖南湘潭 。京东集团创始人，现任京东集团公司董事会主席 。中国人民政治协商会议第十三届全国委员会委员 ，河北省阜平县平石头村名誉村主任 。
7,刘翔,1_data/ChineseStimuli/CelebrityText/刘翔.txt,171,8484,111,1,刘翔，男，汉族，1983年7月13日出生于上海市普陀区，中国男子田径队110米栏运动员。他是中国体育田径史上、也是亚洲田径史上第一个集奥运会、室内室外世锦赛、国际田联大奖赛总决赛冠军和世界纪录保持者多项荣誉于一身的运动员 。
8,华春莹,1_data/ChineseStimuli/CelebrityText/华春莹.txt,26,550,49,3,华春莹，女，汉族，1970年4月出生，江苏淮安人，毕业于南京大学，大学本科毕业，全国优秀共产党员。
9,周迅,1_data/ChineseStimuli/CelebrityText/周迅.txt,53,9373,592,3,1991年，主演个人第一部电影《古墓荒斋》而进入演艺圈 。2000年，凭借娄烨执导的文艺片《苏州河》获得第15届巴黎国际电影节最佳女演员奖 ，成为国际影后。同年，因主演电视剧《大明宫词》小太平一角获得第18届中国电视金鹰奖观众最喜爱的女配角奖。 2002年，凭借文艺片《烟雨红颜》获得第25届大众电影百花奖最佳女主角奖。 同年，主演电视剧《橘子红了》秀禾一角。2003年，发行个人第一张音乐专辑《夏天》。2005年，和金城武合作，主演的歌舞片《如果·爱》成为第62届威尼斯国际电影节的闭幕片，她更凭借老孙一角，获得第25届香港电影金像奖最佳女主角奖、第43届台湾电影金马奖最佳女主角奖。2008年，她凭借爱情片《画皮》小唯一角、谍战片《风声》顾晓梦一角获得观众的好评；2009年，她更凭借文艺片《李米的猜想》获得第27届中国电影金鸡奖最佳女主角奖 ，成为全中国第一位“ 三金满贯”。2011年，在武侠片《龙门飞甲》饰演侠女凌雁秋一角 。2014年，凭借电视剧《红高粱》九儿一角获得第21届上海电视节白玉兰奖最佳女主角奖 、第17届华鼎奖电视剧最佳女主角奖；同年，被授予法国艺术及文学勋章“骑士勋章” 。2018年-2021年，相继主演电视剧《功勋》屠呦呦一角等多部影视作品。2024年，凭电视剧《不完美受害人》林阚一角，二封上海电视节白玉兰奖最佳女主角奖。2025年，参与配音的动画电影《小王子》重映。
10,奚梦瑶,1_data/ChineseStimuli/CelebrityText/奚梦瑶.txt,45,3363,570,3,2009年，参加东方卫视选秀娱乐节目《加油！东方天使》的比赛，获得上海赛区五强；同年，奚梦瑶进入第26届世界精英模特大赛总决赛前15名，从此踏上模特之路。2010年，参加巴黎秋冬高级定制，之后作为史上首位亚洲模特登上Givenchy全球广告。2012年，任春夏上海时装周代言人 。2013年11月，作为第四位亚洲超模登上维多利亚的秘密秀场 ；12月2日，参加伦敦举办的2014维多利亚的秘密年度内衣秀 。2015年8月，参加时尚互动真人秀《爱上超模》第二季。2016年3月，参加浙江卫视综艺节目《二十四小时》；7月至10月，作为常驻嘉宾参与湖南卫视综艺节目《我们来了》。11月，在巴黎四登维多利亚的秘密秀场。2017年参演爱情电影《喜欢你》。2018年3月，作为常驻嘉宾参与探访体验观察真人秀《女人有话说》 。2019年10月，奚梦瑶以模特的身份入选福布斯中国30岁以下精英榜。2020年，她作为综艺《幸福三重奏第三季》的官宣嘉宾。 2021年，参演纪录片《奇妙的蛋生》 。2023年，参演的《爱的修学旅行》定档播出。 2024年9月2日，参加的综艺《心动的信号第七季》播出。10月26日，参演的电视剧《大梦归离》播出。 12月18日，参演演唱的综艺《澳门双行线第二季》主题曲MV《双行味道》发布。 2025年5月13日，参加的节目《爸爸当家·慢享季》播出。
