celeb_id,name,gender
1,Bre Scullark,Female
2,Carey Hart,Male
3,Zac Efron,Male
4,Christian Oliver,Male
5,Conan O'Brien,Male
6,Curtis Jackson,Male
7,Dana Delany,Female
8,Dean Geyer,Male
9,Diego Boneta,Male
10,Dwayne Wade,Male
11,Eduardo Noriega,Male
12,Gabriel Soto,Male
13,Betty White,Female
14,George Burns,Male
15,James Harden,Male
16,Hugh Jackman,Male
17,Isla Fisher,Female
18,Marilyn Monroe,Female
19,John Krasinski,Male
20,John Slattery,Male
21,Jon Huntsman,Male
22,Katherine Bailess,Female
23,Keith Lieberthal,Male
24,Kevin Hart,Male
25,Kris Allen,Male
26,Logan Marshall-Green,Male
27,Lonneke Engel,Female
28,Adam Levine,Male
29,Mario Lopez,Male
30,Michelle Obama,Female
31,Missi Pyle,Female
32,Naomi Harris,Female
33,Natalie Zea,Female
34,Nathalia Dill,Female
35,Olivia Palermo,Female
36,Pat Boone,Male
37,Rachel McAdams,Female
38,Richard Marx,Male
39,Rodrigo Diaz,Male
40,Roger Taylor,Male
41,Ron Perlman,Male
42,Sam Claflin,Male
43,Samantha Mumba,Female
44,Shawn Ashmore,Male
45,Andrea Navedo,Female
46,Steven Soderbergh,Male
47,Tim Gunn,Male
48,Treat Williams,Male
49,Bahar Soomekh,Female
50,Wentworth Miller,Male
