celeb_id,name,occupation
1,Bre Scullark,Actor/Actress
2,Carey Hart,Athlete
3,Zac Efron,Actor/Actress
4,Christian Oliver,Actor/Actress
5,Conan O'Brien,Host/Media
6,Curtis Jackson,Musician
7,Dana Delany,Actor/Actress
8,Dean Geyer,Musician
9,Diego Boneta,Actor/Actress
10,Dwayne Wade,Athlete
11,Eduardo Noriega,Actor/Actress
12,Gabriel Soto,Actor/Actress
13,Betty White,Actor/Actress
14,George Burns,Actor/Actress
15,James Harden,Athlete
16,Hugh Jackman,Actor/Actress
17,Isla Fisher,Actor/Actress
18,Marilyn Monroe,Actor/Actress
19,John Krasinski,Actor/Actress
20,John Slattery,Actor/Actress
21,Jon Huntsman,Politician/Official
22,Katherine Bailess,Actor/Actress
23,Keith Lieberthal,Politician/Official
24,Kevin Hart,Actor/Actress
25,Kris Allen,Musician
26,Logan Marshall-Green,Actor/Actress
27,Lonneke Engel,Actor/Actress/Model
28,Adam Levine,Musician
29,Mario Lopez,Host/Media
30,Michelle Obama,Politician/Official
31,Missi Pyle,Actor/Actress
32,Naomi Harris,Actor/Actress
33,Natalie Zea,Actor/Actress
34,Nathalia Dill,Actor/Actress
35,Olivia Palermo,Actor/Actress/Model
36,Pat Boone,Musician
37,Rachel McAdams,Actor/Actress
38,Richard Marx,Musician
39,Rodrigo Diaz,Actor/Actress
40,Roger Taylor,Musician
41,Ron Perlman,Actor/Actress
42,Sam Claflin,Actor/Actress
43,Samantha Mumba,Musician
44,Shawn Ashmore,Actor/Actress
45,Andrea Navedo,Actor/Actress
46,Steven Soderbergh,Director
47,Tim Gunn,Host/Media
48,Treat Williams,Actor/Actress
49,Bahar Soomekh,Actor/Actress
50,Wentworth Miller,Actor/Actress
