dataset,trait,mean_rho,std_rho,t,p,n
cn,warm,-0.04443490070846045,0.05471942535534632,-5.742059498662739,5.829236556483052e-07,50
cn,critical,0.016571349203834084,0.044296537717795605,2.645288774055568,0.010938760292806118,50
cn,competent,-0.1294283079710069,0.09043466539441486,-10.119972672498218,1.3529758334743815e-13,50
cn,practical,-0.08250398783855477,0.07758859973540655,-7.519033656300439,1.0460785794013262e-09,50
cn,feminine,-0.07338977005616122,0.06761137062351973,-7.675395957493089,6.009782532417382e-10,50
cn,strong,-0.004253586231528521,0.05637707667250475,-0.5335040137230869,0.596096601887014,50
cn,young,-0.01446996784929543,0.04622960840514105,-2.213259584662688,0.03156747183016929,50
cn,charismatic,-0.06922902116664607,0.08687256108452492,-5.634956505335793,8.500884304442657e-07,50
cn,trustworthy,-0.07991101124171046,0.07984291538326552,-7.077098533945951,5.039318937135274e-09,50
cn,attractive,-0.03503272916324403,0.1012179778867172,-2.4473794944339016,0.018020934701311456,50
cn,trait_space,-0.09382272389524754,0.08369308700828096,-7.926901332861393,2.471589067278846e-10,50
