dataset,trait,r_sem,p_sem,n_sem,r_vis,p_vis,n_vis
cn,warm,-0.07265306122448979,0.6160865570949564,50,0.004081632653061224,0.9775571843853881,50
cn,critical,0.23486194477791117,0.10063666546605204,50,0.3359903961584633,0.017054688051114816,50
cn,competent,-0.4421128451380552,0.0013065267328912075,50,-0.12134453781512604,0.40122156027298317,50
cn,practical,-0.5439135654261704,4.45543633423428e-05,50,-0.12614645858343337,0.38270471694091535,50
cn,feminine,0.4502761104441776,0.0010340796164553451,50,0.05008403361344538,0.7297883520350386,50
cn,strong,-0.4776470588235293,0.0004519619536217165,50,-0.11471788715486195,0.4276117951507362,50
cn,young,0.1076110444177671,0.4569714394235288,50,0.1361344537815126,0.3458512508899635,50
cn,charismatic,0.18857142857142856,0.18969647327179168,50,0.008691476590636255,0.9522315678165846,50
cn,trustworthy,-0.3040096038415366,0.031841927161772914,50,-0.11750300120048018,0.4164030168904448,50
cn,attractive,0.6491716686674669,3.405049155471139e-07,50,0.1276830732292917,0.37688823080036205,50
cn,trait_space,0.02645858343337335,0.8552764883233674,50,0.05527010804321728,0.7030360089502818,50
