dataset,trait,split,n_celebrities,sem_model,vis_model,sem_dissim_z_beta,sem_dissim_z_se,sem_dissim_z_t,sem_dissim_z_p,sem_dissim_z_ci_lower,sem_dissim_z_ci_upper,vis_dissim_z_beta,vis_dissim_z_se,vis_dissim_z_t,vis_dissim_z_p,vis_dissim_z_ci_lower,vis_dissim_z_ci_upper,fam_dissim_z_beta,fam_dissim_z_se,fam_dissim_z_t,fam_dissim_z_p,fam_dissim_z_ci_lower,fam_dissim_z_ci_upper,fam_mean_z_beta,fam_mean_z_se,fam_mean_z_t,fam_mean_z_p,fam_mean_z_ci_lower,fam_mean_z_ci_upper,sem_dissim_z_X_fam_mean_z_beta,sem_dissim_z_X_fam_mean_z_se,sem_dissim_z_X_fam_mean_z_t,sem_dissim_z_X_fam_mean_z_p,sem_dissim_z_X_fam_mean_z_ci_lower,sem_dissim_z_X_fam_mean_z_ci_upper,vis_dissim_z_X_fam_mean_z_beta,vis_dissim_z_X_fam_mean_z_se,vis_dissim_z_X_fam_mean_z_t,vis_dissim_z_X_fam_mean_z_p,vis_dissim_z_X_fam_mean_z_ci_lower,vis_dissim_z_X_fam_mean_z_ci_upper,AIC,BIC,AIC_null,BIC_null,lr_stat,lr_df,lr_p,n_obs,converged,sem_X_fam_p_maxt,vis_X_fam_p_maxt,n_perm_maxt
cn,attractive,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2342298996442339,0.0035179971593681,66.5804686682299,0.0,0.2273347519141581,0.2411250473743097,0.1891884936670584,0.0027706551294637,68.2829456669598,0.0,0.1837581093997282,0.1946188779343886,0.1844910107455624,0.0025978301262629,71.0173497798933,0.0,0.1793993572601338,0.189582664230991,0.0449358193264335,0.0032936084297652,13.643339906570636,2.2647352172581425e-42,0.0384804654249161,0.0513911732279509,0.0432578348390347,0.0025459637340127,16.99075059912807,1.0158637403622744e-64,0.0382678376144247,0.0482478320636448,-0.0128670340718966,0.0024243612377076,-5.307391436460634,1.1126714325696665e-07,-0.0176186947833185,-0.0081153733604747,1327195.5496085878,1327314.9178002488,1399571.0854863385,1399625.5158933066,72387.53587775072,6,0.0,394779,True,0.0239760239760239,0.7482517482517482,1000.0
cn,charismatic,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1110120638900591,0.0033236518898758,33.40062905751675,3.183669321700517e-243,0.1044978258887539,0.1175263018913643,0.0749306205746904,0.002630200544596,28.488557927128326,3.2745417482796737e-178,0.0697755222351644,0.0800857189142164,0.2791270807794155,0.0024756854393853,112.7473936465522,0.0,0.27427482648117,0.283979335077661,0.0023691468032154,0.003130037626283,0.7569068126598986,0.4491062547568665,-0.0037656142145545,0.0085039078209855,0.0033605760710596,0.0024280058180353,1.3840889696792007,0.1663320324052595,-0.0013982278865433,0.0081193800286625,-0.0143920072366385,0.0023127834293652,-6.222808004374488,4.888437181952184e-10,-0.0189249794622354,-0.0098590350110417,1280585.6139507843,1280704.9097769044,1343636.6583239948,1343691.0495688282,63063.04437321052,6,0.0,391699,True,1.0,0.6153846153846154,1000.0
cn,competent,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1100744124047876,0.0029526059571977,37.28042752757212,9.444305734285748e-303,0.1042874110681416,0.1158614137414335,0.0580589320761477,0.0023330316125666,24.885617393016744,1.4992184710594712e-136,0.0534862741407235,0.0626315900115718,0.2188122788098601,0.002190823913984,99.87670730321022,0.0,0.2145183428419823,0.223106214777738,-0.0489189244476281,0.0027779971580911,-17.609422063354973,2.2397214326426548e-69,-0.0543636988266414,-0.0434741500686148,-0.0473371154036114,0.0021493467442916,-22.02395473384301,1.9880145448660348e-107,-0.0515497576127114,-0.0431244731945114,0.0209579328065081,0.0020477537994703,10.234595981181505,1.3981315378099916e-24,0.0169444091103412,0.024971456502675,1170834.8732090597,1170954.0460466754,1233802.0265691676,1233856.364363497,62979.15336010791,6,0.0,387534,True,0.0079920079920079,0.1728271728271728,1000.0
cn,critical,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.114334808462618,0.0035273843026775,32.413482244004506,1.3928182522566457e-229,0.1074212622697381,0.1212483546554979,0.0525222997921104,0.0027884363547995,18.83575348661155,4.314884477297107e-79,0.0470570649635211,0.0579875346206997,0.0647354098167393,0.0026259908309438,24.651803446500143,4.491025343718086e-134,0.059588562364357,0.0698822572691217,0.049778483005342,0.0033306563163114,14.945547747319004,1.728123741507409e-50,0.0432505165804908,0.0563064494301933,0.0116449995980365,0.0025716607143906,4.52820215857902,5.95057393221725e-06,0.0066046372173743,0.0166853619786987,-0.0027836221243297,0.0024490571694509,-1.1366096957849752,0.2557022029417835,-0.0075836859725332,0.0020164417238738,1327291.8105016022,1327411.13158386,1376827.3335247478,1376881.7411583588,49547.52302314551,6,0.0,392985,True,0.924075924075924,1.0,1000.0
cn,feminine,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2572821134319766,0.0047244638379,54.45742040991783,0.0,0.2480223344634306,0.2665418924005225,1.1480620418906735,0.0037134891199875,309.15993148097,0.0,1.1407837369585163,1.1553403468228305,-0.0296140183523865,0.0034771878704042,-8.516657556654692,1.6482240439025396e-17,-0.0364291813458584,-0.0227988553589146,0.0529949595587138,0.0043750236046037,12.113068259322954,9.21134131444418e-34,0.0444200708621779,0.0615698482552497,-0.0540165020896317,0.0034024803382325,-15.87562504995733,9.757114126765048e-57,-0.0606852410106731,-0.0473477631685902,0.1411057890259564,0.0032458089900725,43.4732263844042,0.0,0.134744120304718,0.1474674577471948,1508733.253510773,1508852.38761787,1690702.1250390531,1690756.4466408675,181980.8715282802,6,0.0,386281,True,0.0459540459540459,0.0009990009990009,1000.0
cn,practical,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1451493458718035,0.0031140220881938,46.611533817343805,0.0,0.1390459747318813,0.1512527170117256,0.0734260123949773,0.0024596148499879,29.85264639922617,1.5817584031032305e-195,0.0686052558731609,0.0782467689167936,0.1350868317211438,0.0023118201632517,58.43310559725167,0.0,0.1305557474624369,0.1396179159798506,-0.0086627181717797,0.002927670110285,-2.9589119830636377,0.0030874789328292,-0.0144008461465528,-0.0029245901970065,-0.0287199416341598,0.0022638726723852,-12.68620006084553,7.1757876012959384e-37,-0.0331570505376193,-0.0242828327307003,0.0173478238146839,0.0021574106683649,8.041039227747786,8.933360234100356e-16,0.0131193766048261,0.0215762710245416,1227521.6497753437,1227640.943743385,1280940.363789461,1280994.7567317388,53430.714014117606,6,0.0,391832,True,0.1318681318681318,0.3756243756243756,1000.0
cn,strong,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0986260864505666,0.0031647145401804,31.164291501925447,6.419451876006209e-213,0.0924233599304626,0.1048288129706706,0.2267266537252254,0.0024895126510546,91.07270598893092,0.0,0.2218472985901015,0.2316060088603494,0.03646887366229,0.0023335664748635,15.627955772900446,4.884211842518152e-55,0.0318951674160275,0.0410425799085526,0.0436673348147887,0.0029561641553293,14.771620424415593,2.305407669458802e-49,0.0378733595379549,0.0494613100916226,-0.011749323783164,0.00228816481865,-5.134824068353533,2.825458440828375e-07,-0.0162340444184097,-0.0072646031479183,0.0163322388854293,0.0021775841999439,7.500164120335591,6.387447380345307e-14,0.0120642522802357,0.0206002254906229,1252822.320194271,1252941.7370173235,1313659.8663158151,1313714.3206661334,60849.546121544205,6,0.0,396674,True,0.8721278721278721,0.4325674325674326,1000.0
cn,trustworthy,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0829889260519473,0.0030992171068894,26.77738383266757,3.749954849034917e-157,0.0769145721421736,0.0890632799617209,0.0462837269310609,0.0024592104400762,18.820563778033407,6.022656569468191e-79,0.0414637630381065,0.0511036908240153,0.1794023157335708,0.0023188517674974,77.36687538556416,0.0,0.1748574497837887,0.1839471816833528,0.0191434492535255,0.0029311130838103,6.531119307290592,6.538688676384455e-11,0.0133985731746432,0.0248883253324079,-0.0217327617920494,0.0022725711282413,-9.563072205738877,1.1495913598923024e-21,-0.026186919355708,-0.0172786042283908,0.009790730668919,0.0021654712219213,4.521293365530024,6.14814595495507e-06,0.0055464850643953,0.0140349762734428,1239634.2322534658,1239753.5890764222,1291510.809430641,1291565.2260514244,51888.57717717509,6,0.0,393692,True,0.3636363636363636,0.8441558441558441,1000.0
cn,warm,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0486148061690245,0.0032552451061671,14.934299748096745,2.3273437003163087e-50,0.0422346430000867,0.0549949693379622,0.0231144691843996,0.0025791854562837,8.961925994148647,3.2164438810539224e-19,0.0180593585806339,0.0281695797881652,0.1599130276258601,0.0024301588295275,65.80352925201554,0.0,0.1551500038432741,0.1646760514084462,0.0213473759016996,0.0030735039302377,6.945615293242406,3.775824664323224e-12,0.0153234188920914,0.0273713329113078,-0.0050593572962532,0.0023829291412126,-2.123167327450885,0.0337404794057729,-0.0097298125907409,-0.0003889020017655,0.0076552614230887,0.0022699929318534,3.37237236101791,0.0007453104453677,0.0032061570314953,0.012104365814682,1275709.7680728082,1275829.1261082166,1324527.0490111825,1324581.4712169704,48829.28093837434,6,0.0,394132,True,1.0,0.956043956043956,1000.0
cn,young,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.309175617983619,0.0032803113802398,94.25191152463564,0.0,0.302746325820272,0.3156049101469659,0.2784347254418037,0.002580318861691,107.90710000054996,0.0,0.2733773934042598,0.2834920574793476,0.0371454141242528,0.0024186029190339,15.358211069674066,3.236669372686201e-53,0.0324050395100429,0.0418857887384627,0.0256358079163223,0.0030671496699497,8.358186158141448,6.390871275574435e-17,0.0196243050280268,0.0316473108046177,0.0018622347404861,0.0023699561342653,0.785767598632569,0.4320041368274127,-0.0027827939276136,0.006507263408586,-0.0222380973596768,0.0022561352909786,-9.856721557699696,6.451176516989961e-23,-0.0266600412742448,-0.0178161534451087,1284626.8773099552,1284746.3275608872,1368535.243817642,1368589.7119512106,83920.36650768667,6,0.0,397769,True,1.0,0.1958041958041958,1000.0
