dataset,trait,split,n_celebrities,sem_model,vis_model,sem_dissim_z_beta,sem_dissim_z_se,sem_dissim_z_t,sem_dissim_z_p,sem_dissim_z_ci_lower,sem_dissim_z_ci_upper,vis_dissim_z_beta,vis_dissim_z_se,vis_dissim_z_t,vis_dissim_z_p,vis_dissim_z_ci_lower,vis_dissim_z_ci_upper,AIC,BIC,AIC_null,BIC_null,lr_stat,lr_df,lr_p,n_obs,converged
cn,attractive,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2523287485495702,0.0034803702012396,72.50054849328744,0.0,0.245507348302274,0.2591501487968665,0.1953289620712121,0.0027473300596894,71.0977413806963,0.0,0.1899442941005765,0.2007136300418476,1380707.9226661366,1380784.125235892,1399571.0854863385,1399625.5158933066,18867.162820201836,2,0.0,394779,True
cn,charismatic,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1354323613187375,0.0033246435563686,40.73590417213502,0.0,0.1289161796868219,0.1419485429506531,0.0826439933355282,0.002636974401057,31.34046098528641,3.562567525715058e-215,0.0774756184813023,0.0878123681897542,1338825.710263708,1338901.8580064746,1343636.6583239948,1343691.0495688282,4814.94806028693,2,0.0,391699,True
cn,competent,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1256358533029868,0.0029665145671401,42.35133536664455,0.0,0.1198215915917788,0.1314501150141948,0.0645760417120636,0.0023489840897566,27.49105112872589,3.658790178318654e-166,0.0599721174958829,0.0691799659282442,1229226.700983779,1229302.7738958402,1233802.0265691676,1233856.364363497,4579.3255853885785,2,0.0,387534,True
cn,critical,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1191400821204438,0.0034631623102129,34.40210750997625,2.8410635956383237e-258,0.1123524087198099,0.1259277555210777,0.0541985799433258,0.0027434835815169,19.755387022712856,8.238514643233657e-87,0.0488214509313756,0.059575708955276,1374050.0794344456,1374126.2501215008,1376827.3335247478,1376881.7411583588,2781.254090302158,2,0.0,392985,True
cn,feminine,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2533032900473,0.0046522383002231,54.447617190020296,0.0,0.2441850705313648,0.2624215095632352,1.1520072360027875,0.0036638860588982,314.4222329744627,0.0,1.1448261512838886,1.1591883207216864,1563727.9479919868,1563803.998234527,1690702.1250390531,1690756.4466408675,126978.1770470664,2,0.0,386281,True
cn,practical,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1582328293494088,0.0030724402826745,51.50070132906532,0.0,0.1522109570507167,0.1642547016481009,0.0758933342656969,0.0024329711027513,31.193685029744778,2.8681740687721974e-213,0.0711247985288775,0.0806618700025162,1274496.3422062695,1274572.492325458,1280940.363789461,1280994.7567317388,6448.021583191818,2,0.0,391832,True
cn,strong,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1035129876332397,0.0031064018734739,33.32247141528978,4.308035643580757e-243,0.0974245518397229,0.1096014234267565,0.2260672459902837,0.0024489435577636,92.31215038566609,0.0,0.2212674048168957,0.2308670871636718,1298012.833932463,1298089.0700229085,1313659.8663158151,1313714.3206661334,15651.032383352052,2,0.0,396674,True
cn,trustworthy,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0977782059616903,0.0030716752880577,31.832207766829463,1.1055333849565595e-220,0.0917578330248954,0.1037985788984852,0.0513796246634076,0.0024434826403434,21.02721084041957,4.7654212323918007e-98,0.0465904866914856,0.0561687626353297,1288914.5095320733,1288990.69280117,1291510.809430641,1291565.2260514244,2600.299898567609,2,0.0,393692,True
cn,warm,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0634968603220353,0.0032083874354388,19.79089545753405,6.220349180429242e-87,0.0572085365001244,0.0697851841439462,0.0263137499076179,0.0025487897020068,10.324017664893596,5.567815983643356e-25,0.0213182138875178,0.031309285927718,1323678.1082122717,1323754.2993003745,1324527.0490111825,1324581.4712169704,852.9407989108004,2,6.113062294512088e-186,394132,True
cn,young,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.310447856260545,0.0032198738239045,96.41615579957224,0.0,0.3041370195309288,0.3167586929901612,0.2781763145283602,0.0025383775322368,109.58823539665964,0.0,0.2732011859860104,0.28315144307071,1330575.4153446292,1330651.6707316255,1368535.243817642,1368589.7119512106,37963.82847301266,2,0.0,397769,True
