dataset,trait,split,n_celebrities,sem_model,vis_model,rsa_sem_r,rsa_vis_r,partial_sem_r,partial_vis_r,unique_sem,unique_vis,shared,total_r2,rsa_sem_p_maxt,rsa_vis_p_maxt,partial_sem_p_maxt,partial_vis_p_maxt,n_perm_maxt
cn,warm,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,-0.0877318271116989,-0.0410509817011665,-0.066867099205098,-0.0068818261399176,0.0072200286350827,8.611357415477805e-06,0.001394645715159,0.0086232857076572,0.4565434565434565,0.8871128871128872,0.8441558441558441,1.0,1000
cn,critical,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1881350249170537,0.1053881307178116,0.1565557120074783,0.0409490190856114,0.0271755552219916,0.000229743533694,0.0066395944357262,0.034044893191412,0.0119880119880119,0.0449550449550449,0.0449550449550449,0.949050949050949,1000
cn,competent,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1229071608046856,0.1744014360171615,0.0667917215825971,0.1367127340332544,0.0066024530514796,0.0237739233457474,0.0158546949943743,0.0462310713916014,0.1188811188811188,0.0019980019980019,0.8441558441558441,0.0119880119880119,1000
cn,practical,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2113492272593288,0.2673006753616695,0.1317032914307647,0.2091073231902875,0.0182478885647098,0.0440393850199104,0.034824254594113,0.0971115281787333,0.0079920079920079,0.0009990009990009,0.1088911088911089,0.0019980019980019,1000
cn,feminine,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2387840748044731,0.6179734471276275,0.0263081676389968,0.5705976485210724,0.0001124350232076,0.294369151933376,0.0529808079934283,0.3474623949500119,0.0029970029970029,0.0009990009990009,1.0,0.0009990009990009,1000
cn,strong,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1744981394246025,0.3598923795940515,0.0601690333555934,0.2996922292571188,0.0079846176712276,0.1011531483593612,0.042518477221229,0.1516562432518179,0.0199800199800199,0.0009990009990009,0.8911088911088911,0.0009990009990009,1000
cn,young,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.3888082978340056,0.3627634654604532,0.2869494225096237,0.2542581992013771,0.0832349140826385,0.0619037646936353,0.0861298197842493,0.2312684985605232,0.0009990009990009,0.0009990009990009,0.0019980019980019,0.0009990009990009,1000
cn,charismatic,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0929083907162107,0.1127149692680659,0.053912775550677,0.0869337490297913,0.0062612466114861,0.0090864381902522,0.0090661816207053,0.0244138664224438,0.3926073926073926,0.0329670329670329,0.9370629370629372,0.1978021978021978,1000
cn,trustworthy,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0054128769013659,0.0325376934168625,0.0098713743246074,0.025112309197741,0.000162075979458,0.0006680525880513,0.0004216738401008,0.0012518024076102,1.0,0.957042957042957,1.0,0.997002997002997,1000
cn,attractive,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2711097703101454,0.3530381735274088,0.1566961140084092,0.2887410624935129,0.0279631674389788,0.0822692113120074,0.0597099949532448,0.1699423737042311,0.0019980019980019,0.0009990009990009,0.0449550449550449,0.0009990009990009,1000
