dataset,trait,split,n_celebrities,sem_model,vis_model,rsa_sem_r,rsa_sem_p,rsa_vis_r,rsa_vis_p,partial_sem_r,partial_sem_p,partial_vis_r,partial_vis_p,unique_sem,unique_vis,shared,total_r2
cn,attractive,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2711097703101454,0.0001999600079984,0.3530381735274088,0.0001999600079984,0.1566961140084092,0.0071985602879424,0.2887410624935129,0.0001999600079984,0.0279631674389788,0.0822692113120074,0.0597099949532448,0.1699423737042311
cn,charismatic,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0929083907162107,0.0897820435912817,0.1127149692680659,0.0043991201759648,0.053912775550677,0.3577284543091382,0.0869337490297913,0.0391921615676864,0.0062612466114861,0.0090864381902522,0.0090661816207053,0.0244138664224438
cn,competent,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1229071608046856,0.0117976404719056,0.1744014360171615,0.0001999600079984,0.0667917215825971,0.1649670065986802,0.1367127340332544,0.000999800039992,0.0066024530514796,0.0237739233457474,0.0158546949943743,0.0462310713916014
cn,critical,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1881350249170537,0.0027994401119776,0.1053881307178116,0.0071985602879424,0.1565557120074783,0.0123975204959008,0.0409490190856114,0.3457308538292341,0.0271755552219916,0.000229743533694,0.0066395944357262,0.034044893191412
cn,feminine,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2387840748044731,0.0003999200159968,0.6179734471276275,0.0001999600079984,0.0263081676389968,0.3389322135572885,0.5705976485210724,0.0001999600079984,0.0001124350232076,0.294369151933376,0.0529808079934283,0.3474623949500119
cn,practical,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2113492272593288,0.0003999200159968,0.2673006753616695,0.0001999600079984,0.1317032914307647,0.0031993601279744,0.2091073231902875,0.0001999600079984,0.0182478885647098,0.0440393850199104,0.034824254594113,0.0971115281787333
cn,strong,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1744981394246025,0.002999400119976,0.3598923795940515,0.0001999600079984,0.0601690333555934,0.2955408918216357,0.2996922292571188,0.0001999600079984,0.0079846176712276,0.1011531483593612,0.042518477221229,0.1516562432518179
cn,trustworthy,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0054128769013659,0.905618876224755,0.0325376934168625,0.3385322935412917,0.0098713743246074,0.8284343131373725,0.025112309197741,0.4783043391321736,0.000162075979458,0.0006680525880513,0.0004216738401008,0.0012518024076102
cn,warm,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,-0.0877318271116989,0.0913817236552689,-0.0410509817011665,0.2571485702859428,-0.066867099205098,0.2375524895020996,-0.0068818261399176,0.8674265146970606,0.0072200286350827,8.611357415477805e-06,0.001394645715159,0.0086232857076572
cn,young,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.3888082978340056,0.0001999600079984,0.3627634654604532,0.0001999600079984,0.2869494225096237,0.0001999600079984,0.2542581992013771,0.0001999600079984,0.0832349140826385,0.0619037646936353,0.0861298197842493,0.2312684985605232
