dataset,trait,variant,n_pairs_rec,n_pairs_unrec,n_obs,converged,AIC,sem_dissim_z_beta,sem_dissim_z_se,sem_dissim_z_t,sem_dissim_z_p,sem_dissim_z_ci_lower,sem_dissim_z_ci_upper,vis_dissim_z_beta,vis_dissim_z_se,vis_dissim_z_t,vis_dissim_z_p,vis_dissim_z_ci_lower,vis_dissim_z_ci_upper,recognized_beta,recognized_se,recognized_t,recognized_p,recognized_ci_lower,recognized_ci_upper,sem_dissim_z_X_recognized_beta,sem_dissim_z_X_recognized_se,sem_dissim_z_X_recognized_t,sem_dissim_z_X_recognized_p,sem_dissim_z_X_recognized_ci_lower,sem_dissim_z_X_recognized_ci_upper,vis_dissim_z_X_recognized_beta,vis_dissim_z_X_recognized_se,vis_dissim_z_X_recognized_t,vis_dissim_z_X_recognized_p,vis_dissim_z_X_recognized_ci_lower,vis_dissim_z_X_recognized_ci_upper
cn,warm,midpoint,232302,28440,260742,True,854700.0018048717,0.05690566456132279,0.008900898160239774,6.393249707711503,1.6272784063199037e-10,0.03946022473719401,0.07435110438545156,0.03759895454043293,0.008117673627318897,4.631740110109736,3.627841094928273e-06,0.021688606592637275,0.05350930248822859,0.02160522476783338,0.010199385605235393,2.11828688551037,0.034151868098017804,0.0016147963171357534,0.04159565321853101,-0.00888588579955275,0.00901132702467658,-0.98607960572507,0.32409496990788733,-0.026547762220831325,0.008775990621725824,-0.006385596770713457,0.008493134352361828,-0.7518539688398673,0.4521395626534349,-0.023031834217202556,0.01026064067577564
cn,critical,midpoint,232477,27951,260428,True,906345.2069987925,0.11204695592721406,0.009947506095941392,11.263823801317347,2.0139746937927253e-29,0.0925502022431763,0.13154370961125184,0.05966927879863625,0.009066305933297126,6.581432309656954,4.668247290812989e-11,0.04189964569655208,0.07743891190072041,0.08163282444837162,0.011365509507359485,7.1825046114749265,6.864238498674182e-13,0.05935683514799947,0.10390881374874378,0.016367864982411124,0.010056424553638525,1.6276028219680772,0.10361034191437019,-0.003342364955964669,0.03607809492078692,-0.010870021205261347,0.009474222230623039,-1.147325969421188,0.25124798012268534,-0.02943915555881123,0.007699113148288538
cn,competent,midpoint,228567,27952,256519,True,770455.282206381,0.23034734691942516,0.007834972486262897,29.39989225530715,1.1745615845167772e-189,0.21499108302648764,0.24570361081236267,0.01569581553610804,0.0071362544021132636,2.199447308305044,0.02784702433345916,0.001709013923450629,0.029682617148765446,-0.1237414274289417,0.008985951614438938,-13.770542368613436,3.975704341218218e-43,-0.14135356896006157,-0.10612928589782183,-0.09086749436891968,0.007915211302004092,-11.480109740836923,1.6894875359638627e-30,-0.10638102345087208,-0.07535396528696728,0.050554454939335074,0.007461545067984748,6.775333322886312,1.2438619851126246e-11,0.0359300953370625,0.06517881454160765
cn,practical,midpoint,231302,28110,259412,True,821177.9231154264,0.21941231517615584,0.0084650081337517,25.919917820434755,6.264264504737931e-148,0.20282120410516388,0.2360034262471478,0.030731603607902194,0.007723370090357724,3.9790406582055677,6.921277884690478e-05,0.015594076391527194,0.045869130824277196,-0.029179799062079927,0.009696291761251256,-3.0093771702177436,0.0026181001964756903,-0.04818418169772483,-0.010175416426435022,-0.052212758302574,0.008552642647304404,-6.1048684547845875,1.0303059552486923e-09,-0.06897562986393194,-0.03544988674121607,0.04253723870680429,0.008072021849500078,5.269713028519457,1.3674611190940827e-07,0.02671636659936374,0.05835811081424483
cn,feminine,midpoint,228260,27434,255694,True,1033549.606714702,0.3285252888154647,0.01331163531755854,24.67955897064936,2.550715040449819e-134,0.3024349630177186,0.35461561461321084,0.8977135413081189,0.012127277414276915,74.02432637116719,0.0,0.87394451434561,0.9214825682706277,0.09108917418226622,0.01501410769494853,6.06690560857726,1.3070353447181542e-09,0.06166206384016143,0.12051628452437102,-0.09789558292904856,0.013414132239922952,-7.297943778852358,2.930429584282897e-13,-0.12418679900315513,-0.07160436685494198,0.34302366582439864,0.012663519729753743,27.08754541744368,2.338423823676984e-161,0.3182036232365689,0.36784370841222835
cn,strong,midpoint,233947,28359,262306,True,846992.7151769345,0.12169081005732052,0.008736855694700002,13.92844454683408,4.413005293575882e-44,0.10456688755758484,0.1388147325570562,0.20769299884742148,0.007934021393702091,26.17751938661082,7.504894775014649e-151,0.1921426026631951,0.22324339503164786,0.09898032108332018,0.00997163194955879,9.926190776395405,3.233621807666577e-23,0.07943628159509603,0.11852436057154433,-0.011888381732066557,0.00881714824203452,-1.3483250372711624,0.1775550273578675,-0.02916967473280486,0.005392911268671748,0.026370780709992523,0.008290187873627213,3.180962978400451,0.0014680348426644493,0.010122311052612496,0.042619250367372546
cn,young,midpoint,235144,28311,263455,True,873550.5807519755,0.27778851940747484,0.009131348738447745,30.421411706448158,6.452284889170024e-203,0.259891404749842,0.29568563406510767,0.3596167745915529,0.00829967311269016,43.32902871098629,0.0,0.3433497142072247,0.37588383497588107,0.013644289781826066,0.010412868789201104,1.31032956028181,0.19008559075915335,-0.006764558020749295,0.03405313758440143,0.024558187842559684,0.00921140473914811,2.6660632702619553,0.007674993184952402,0.006504166306807821,0.04261220937831155,-0.10688212463598243,0.00866762165122485,-12.331194061854161,6.291204772044474e-35,-0.12387035090400272,-0.08989389836796213
cn,charismatic,midpoint,230857,28258,259115,True,851233.7746400282,0.0709909413791773,0.00895083104713489,7.931212309263852,2.1809056200681968e-15,0.05344763489508998,0.08853424786326462,0.13138304648070256,0.008170645055535226,16.079886665948944,3.773584764978389e-58,0.11536887644139325,0.14739721652001186,0.01907052326624482,0.010263456637052661,1.858099463040287,0.06315620190209432,-0.0010454820992669735,0.03918652863175662,0.031119841832961972,0.009063718395489048,3.4334519757862414,0.0005960413447992669,0.013355280211790277,0.04888440345413367,-0.057272889963531234,0.008548673351994643,-6.699623158506562,2.093831083398294e-11,-0.07402798184903803,-0.04051779807802444
cn,trustworthy,midpoint,232537,28334,260871,False,830144.4588839113,0.13154693046548502,0.008488561790214844,15.496963292076783,3.878494085026701e-54,0.11490965507612108,0.14818420585484895,0.04965679582833968,0.0077511763434087114,6.406356097234947,1.4929512751478097e-10,0.03446476935743974,0.06484882229923962,-0.017134592776285273,0.0097419698486852,-1.7588427230246253,0.07860552193064717,-0.03622850281818338,0.001959317265612836,-0.037615977357402894,0.008589294091477184,-4.379402656002632,1.190514479542266e-05,-0.054450684429320856,-0.020781270285484932,0.0015841574528252269,0.008106527538110038,0.1954175132790036,0.8450662597250139,-0.014304344561552594,0.01747265946720305
cn,attractive,midpoint,232610,28286,260896,True,894730.3462713864,0.14713351094791022,0.009663975370798224,15.22494680527702,2.545849320390356e-52,0.1281924672736636,0.16607455462215684,0.24402452453461992,0.008788672296148506,27.76580082995696,1.9881983916861697e-169,0.2267990433622439,0.2612500057069959,0.08744708047639607,0.011039486491651913,7.921299649446898,2.3598857871746025e-15,0.06581008454494189,0.10908407640785026,0.07593174745402126,0.009759737887017714,7.780101098311745,7.27299027489212e-15,0.0568030126969155,0.09506048221112702,-0.05601401431392384,0.009183760740743676,-6.099245820442397,1.0671914748317889e-09,-0.07401385460841432,-0.038014174019433356
