dataset,trait,variant,n_pairs_rec,n_pairs_unrec,n_obs,converged,AIC,sem_dissim_z_beta,sem_dissim_z_se,sem_dissim_z_t,sem_dissim_z_p,sem_dissim_z_ci_lower,sem_dissim_z_ci_upper,vis_dissim_z_beta,vis_dissim_z_se,vis_dissim_z_t,vis_dissim_z_p,vis_dissim_z_ci_lower,vis_dissim_z_ci_upper,recognized_beta,recognized_se,recognized_t,recognized_p,recognized_ci_lower,recognized_ci_upper,sem_dissim_z_X_recognized_beta,sem_dissim_z_X_recognized_se,sem_dissim_z_X_recognized_t,sem_dissim_z_X_recognized_p,sem_dissim_z_X_recognized_ci_lower,sem_dissim_z_X_recognized_ci_upper,vis_dissim_z_X_recognized_beta,vis_dissim_z_X_recognized_se,vis_dissim_z_X_recognized_t,vis_dissim_z_X_recognized_p,vis_dissim_z_X_recognized_ci_lower,vis_dissim_z_X_recognized_ci_upper
cn,warm,any,317726,6988,324714,False,1073102.9510702216,0.04737108968364991,0.017910051931915198,2.644944295177391,0.008170832831510495,0.012268032935854115,0.08247414643144571,0.03468156800044414,0.016491092433753803,2.1030485481639927,0.03546229450192291,0.002359620764565709,0.06700351523632257,0.09470185755727824,0.01816137085962781,5.214466368714361,1.8446170320014495e-07,0.059106224762532494,0.13029749035202398,0.007335296795223189,0.017942042894923824,0.40883286469560814,0.6826625896278233,-0.027830461087900264,0.042501054678346646,-0.006213816156625578,0.016630925128984824,-0.37363021650527256,0.7086796940583111,-0.03880983043901798,0.026382198125766823
cn,critical,any,317894,6697,324591,True,1126990.3797143826,0.13068522838545807,0.01999597883364174,6.535575451079691,6.345881757782225e-11,0.09149383003589504,0.1698766267350211,0.0814314353334513,0.0183837969321549,4.4295221294040985,9.447295307783167e-06,0.04539985544732977,0.11746301521957284,0.11381902511647635,0.02020773970353097,5.632447111172377,1.7781888671305044e-08,0.07421258308859555,0.15342546714435715,-0.004381132038714098,0.020028656519870645,-0.21874318102003149,0.8268502474227247,-0.04363657747638389,0.0348743133989557,-0.03175601236131221,0.018530689278626177,-1.7136983888635213,0.08658508840429073,-0.06807549595612203,0.004563471233497603
cn,competent,any,313478,6673,320151,True,982464.5011113922,0.2235036882382912,0.01629012221301366,13.720197142519977,7.903737533174244e-43,0.19157563539702852,0.2554317410795539,0.028668271705816553,0.014952598257222905,1.917276931583997,0.05520364851332901,-0.0006382823536367141,0.05797482576526982,-0.08438928720205392,0.016535090323679637,-5.1036483956305565,3.3335827584639593e-07,-0.11679746871758276,-0.05198110568652509,-0.08394049338322085,0.016313564261852622,-5.145441672700916,2.6704919643395355e-07,-0.11591449179593173,-0.051966494970509966,0.035080142736255135,0.015073773787628272,2.3272302762727537,0.019953633165902967,0.005536089001399812,0.06462419647111045
cn,practical,any,316732,6742,323474,True,1033744.9791638172,0.20534993670929014,0.017239978804656064,11.91126387312208,1.05043671203805e-32,0.17156019915793036,0.23913967426064991,0.03675773011901484,0.015889812417539857,2.313289115889127,0.020707373033316108,0.005614270059539402,0.06790119017849028,0.02464620318022004,0.0174712506284117,1.410671949273079,0.1583423362276921,-0.00959681881633967,0.05888922517677975,-0.035741981171109875,0.017265604192844283,-2.070126291087057,0.03844131147890167,-0.06958194356040842,-0.0019020187818113363,0.03848977196593689,0.016017967298495365,2.402912382618761,0.016265643935500552,0.00709513295534564,0.06988441097652814
cn,feminine,any,312186,6633,318819,True,1286192.8574088712,0.35664227814191946,0.026412256253696077,13.502908449633555,1.5433875830786353e-41,0.30487520713423233,0.4084093491496066,0.7300492620335189,0.024345410490455157,29.9871412034618,2.722980178687576e-197,0.6823331342833833,0.7777653897836546,0.03599825170031233,0.026613974146199464,1.3526071492578255,0.17618240881016317,-0.01616417911171874,0.08816068251234341,-0.10900095731226715,0.026434658054690273,-4.123410905741874,3.7339739121488415e-05,-0.1608119350430917,-0.057189979581442583,0.45890462373030766,0.024540732647512633,18.699711631340424,5.480949638020196e-78,0.41080567158695663,0.5070035758736587
cn,strong,any,319619,6952,326571,False,1060106.3817696392,0.1251512060839314,0.017434131421836727,7.178516844674928,7.062068299579358e-13,0.09098093639539334,0.15932147577246947,0.18146042344734195,0.016032549553947013,11.318251213679776,1.0794583860594665e-29,0.1500372037412521,0.2128836431534318,0.13289476301131392,0.01764443614780471,7.531822603911798,5.016583420355925e-14,0.09831230363410004,0.1674772223885278,-0.014377233522890437,0.01745430454089824,-0.8237070396704875,0.4101066403887682,-0.0485870417982449,0.019832574752464027,0.0503813858989501,0.01616418074304647,3.116853659324692,0.001828081503914937,0.01870017380298314,0.08206259799491707
cn,young,any,321037,6866,327903,False,1088657.1699099503,0.23392204665879096,0.018269227684550852,12.804156294828175,1.5866278729118296e-37,0.19811501837170922,0.2697290749458727,0.4646905281406681,0.01676641532260196,27.71555631896117,7.116588403878583e-169,0.4318289579585277,0.49755209832280844,0.04007919444409803,0.018428302746141528,2.1748717174993075,0.02964046206243195,0.003960384765460068,0.07619800412273599,0.0720239966417488,0.018292306547884905,3.937392829778307,8.238870905793198e-05,0.03617173461372819,0.10787625866976941,-0.2044910693406823,0.01690089752472513,-12.099420698902088,1.081361301345081e-33,-0.2376162197955457,-0.17136591888581892
cn,charismatic,any,315962,6898,322860,True,1077892.6219993145,0.05656273411075586,0.01832142395406806,3.087245524832515,0.002020378819622729,0.02065340301529304,0.09247206520621867,0.2031045899291196,0.01688314684706172,12.030019745073007,2.512021744061663e-33,0.17001423016317765,0.23619494969506152,0.1426649722622584,0.018507427448017852,7.708525275215267,1.2764463884387906e-14,0.10639108101765538,0.17893886350686145,0.06039784283852785,0.01835203873154119,3.2910699308150213,0.0009981780161735978,0.02442850788182299,0.09636717779523271,-0.1280406365021364,0.017025135064864017,-7.520682568115596,5.463098577276687e-14,-0.16140928806119986,-0.09467198494307294
cn,trustworthy,any,317773,6944,324717,True,1043915.5931230033,0.14674977982895826,0.0171607976499929,8.551454473272631,1.2206510612337518e-17,0.11311523448899258,0.18038432516892394,0.051235383033407626,0.015794531579795067,3.243868472740893,0.0011793011029421802,0.02027866998432878,0.08219209608248647,0.10059873105903304,0.01739155270378795,5.7843444327499425,7.286302900764275e-09,0.06651191412437846,0.13468554799368762,-0.04887117905049377,0.01719052362479112,-2.842913928463165,0.0044705930224679365,-0.0825639862304693,-0.015178371870518237,-0.0014416170098684757,0.015927395552234217,-0.09051178550445761,0.9278805847827872,-0.03265873865977098,0.029775504640034027
cn,attractive,any,317986,6957,324943,True,1120711.1691957223,0.1044729392168294,0.01929849110183317,5.413528895370762,6.183823006700254e-08,0.06664859170126969,0.14229728673238912,0.3541224207131406,0.017754658265642417,19.945324512295105,1.8599943248944803e-88,0.3193239299546651,0.3889209114716161,0.1739105854426343,0.019542360589789733,8.899159579191119,5.655320647613017e-19,0.1356082625137515,0.2122129083715171,0.12349137687145605,0.01932417684834169,6.390511629066026,1.6555430124002983e-10,0.08561668621782362,0.16136606752508847,-0.170161322819584,0.0178999797060367,-9.506229929534374,1.989721455408769e-21,-0.20524463836741377,-0.1350780072717542
