dataset,trait,sem_delta,sem_delta_z,sem_delta_p,sem_delta_p_maxt,vis_delta,vis_delta_z,vis_delta_p,vis_delta_p_maxt,n_perm
cn,warm,-0.0129338111673057,-1.098673232178044,0.2719106222819162,1.0,4.2412243202671895e-05,0.0043687499107196,0.9965142529843788,1.0,200
cn,critical,0.0689678515745704,5.48070445930996,4.2363563081021684e-08,0.2537313432835821,-0.0150101447031246,-1.4509972813347567,0.1467806172421638,1.0,200
cn,competent,0.0664646265625029,6.277154492035989,3.44825413884803e-10,0.0945273631840796,-0.0069187158449388,-0.7784710661244887,0.4362913575169722,1.0,200
cn,practical,0.0696307914521406,6.294024827924045,3.0933831504737303e-10,0.08955223880597014,-0.0032513808861257,-0.352688569154553,0.7243219298717268,1.0,200
cn,feminine,0.0943896677482847,5.430776133876187,5.610948535127085e-08,0.25870646766169153,0.3111013214729786,22.170208448819317,6.660128366473704e-109,0.004975124378109453,200
cn,strong,0.0259729053968975,2.248003068263948,0.0245759942697026,1.0,-0.000623089743781,-0.0662072100458927,0.9472128565851496,1.0,200
cn,young,0.039627521962402,3.0996875228456062,0.0019372490282018,0.9651741293532339,-0.1230932667301177,-11.890026896614255,1.333636308861251e-32,1.0,200
cn,charismatic,-0.0148993091939438,-1.2748255405250508,0.202370998528754,1.0,-0.0394226737475032,-4.099743453445218,4.136083746119867e-05,1.0,200
cn,trustworthy,0.0219778455137557,1.9763562365330003,0.0481144444599409,1.0,-0.0136387332422818,-1.4753774810310585,0.1401110861181314,1.0,200
cn,attractive,-0.0036875266215771,-0.2969531919474912,0.766502245413613,1.0,-0.0224438220088795,-2.224607872989025,0.0261075736563162,1.0,200
