dataset,trait,sem_delta,sem_delta_z,sem_delta_p,sem_delta_p_maxt,vis_delta,vis_delta_z,vis_delta_p,vis_delta_p_maxt,n_perm
cn,warm,0.0276547745854272,1.194161034638144,0.2324149819579563,0.9950248756218906,-0.0134345795843016,-0.6834910608794375,0.4942965968496288,1.0,200
cn,critical,0.0392556006026946,1.5948640958664768,0.1107426300599931,0.9850746268656716,-0.0279756087471128,-1.328208089465842,0.1841093727359714,1.0,200
cn,competent,0.0257127309985631,1.160782396460842,0.2457304035774449,0.9950248756218906,-0.0233685872523335,-1.2346990925837618,0.21694251373923,1.0,200
cn,practical,0.0561212792257955,2.413395911525241,0.0158046414372717,0.7761194029850746,-0.0046631940891299,-0.2369920144622276,0.8126629853486974,1.0,200
cn,feminine,0.1687640760358876,4.98575115995638,6.172154166872209e-07,0.024875621890547265,0.3863905243280214,13.916060632135224,5.060364992428989e-44,0.004975124378109453,200
cn,strong,0.0528640985402155,2.357165548672839,0.0184150352057017,0.7910447761194029,0.0024248862258168,0.1315004195560939,0.8953794546991045,1.0,200
cn,young,0.015467492965668,0.5900418682062024,0.5551625803029098,1.0,-0.1891134463495552,-8.777514374241342,1.6712715288389362e-18,0.8159203980099502,200
cn,charismatic,-0.0410912142534888,-1.7418424296112869,0.0815360199945132,0.9601990049751243,-0.085064055246072,-4.312660097390362,1.6130200125906623e-05,1.0,200
cn,trustworthy,0.0092881541659029,0.4027496360607798,0.6871324149275482,1.0,-0.026247930029959,-1.3628800523229647,0.1729203163734302,1.0,200
cn,attractive,0.019465000050222,0.7806824360827755,0.4349892933498144,1.0,-0.1171231720808077,-5.68379811831627,1.3173577448045817e-08,1.0,200
