dataset,trait,sem_delta,sem_delta_z,sem_delta_p,sem_delta_p_maxt,vis_delta,vis_delta_z,vis_delta_p,vis_delta_p_maxt,n_perm
cn,warm,-0.003538201261606,-0.3690011553613697,0.7121268635994311,1.0,0.0132489464532091,1.694573389343,0.090156378699213,1.0,200
cn,critical,0.0665993757263344,6.459132375639769,1.0530496887756668e-10,0.05970149253731343,-0.0020857250439758,-0.2485418824459953,0.8037151689212437,1.0,200
cn,competent,0.0800347810107148,9.258650628927208,2.070319684730319e-20,0.004975124378109453,-0.00639567957184,-0.8966792148799406,0.3698901148049754,1.0,200
cn,practical,0.0757388222523509,8.321520819245851,8.684176002247656e-17,0.004975124378109453,0.0004708460974359,0.063093336288586,0.9496921805999664,1.0,200
cn,feminine,0.1114923275006315,7.708040447821807,1.2776425937896588e-14,0.004975124378109453,0.3029851188870694,26.302716478604,1.7852942259629204e-152,0.004975124378109453,200
cn,strong,0.0287274852561383,3.01827313764603,0.0025421966213013,0.9950248756218906,0.0058444559105802,0.7660643205606219,0.4436380314558512,1.0,200
cn,young,0.0248355722537879,2.423020901612156,0.0153920410497122,1.0,-0.0770679319317687,-9.419651993792254,4.5258555293994415e-21,1.0,200
cn,charismatic,-0.0261135256367193,-2.717401402579942,0.0065796756183391,0.9950248756218906,-0.0202918130609097,-2.611046295795609,0.0090265673154832,1.0,200
cn,trustworthy,0.0177627066556313,1.963355547832082,0.0496048751719226,1.0,-0.0088239436000311,-1.1888423914417183,0.2345016930962182,1.0,200
cn,attractive,-0.0103042046255612,-1.0006801318797716,0.316981475786138,1.0,0.0143505518442744,1.7393731495934317,0.0819691480051077,1.0,200
