dataset,trait,sem_model,vis_model,n_pairs_rec,n_pairs_unrec,n_obs_rec,converged_rec,sem_dissim_z_beta_rec,sem_dissim_z_se_rec,sem_dissim_z_p_rec,sem_dissim_z_ci_lower_rec,sem_dissim_z_ci_upper_rec,vis_dissim_z_beta_rec,vis_dissim_z_se_rec,vis_dissim_z_p_rec,vis_dissim_z_ci_lower_rec,vis_dissim_z_ci_upper_rec,n_obs_unrec,converged_unrec,sem_dissim_z_beta_unrec,sem_dissim_z_se_unrec,sem_dissim_z_p_unrec,sem_dissim_z_ci_lower_unrec,sem_dissim_z_ci_upper_unrec,vis_dissim_z_beta_unrec,vis_dissim_z_se_unrec,vis_dissim_z_p_unrec,vis_dissim_z_ci_lower_unrec,vis_dissim_z_ci_upper_unrec,sem_dissim_z_delta,sem_dissim_z_delta_z,sem_dissim_z_delta_p,vis_dissim_z_delta,vis_dissim_z_delta_z,vis_dissim_z_delta_p,rsa_sem_r_rec,rsa_sem_r_unrec,fisher_z_sem,fisher_p_sem_naive,rsa_vis_r_rec,rsa_vis_r_unrec,fisher_z_vis,fisher_p_vis_naive,boot_delta_sem_lo,boot_delta_sem_hi,fisher_p_sem_identity,boot_delta_vis_lo,boot_delta_vis_hi,fisher_p_vis_identity
cn,warm,GPT_first_substantive_large_cosine,VGGFace2_cosine,232302,28440,232302,True,0.0460515643917464,0.004035688983782883,4.117838524098727e-30,0.0381417593307269,0.0539613694527659,0.03285948647057751,0.0031495035360717227,1.7898785720401865e-25,0.026686572970695384,0.03903239997045963,28440,True,0.05898537555905219,0.011058848251018227,1.0008053559062794e-07,0.03731043127656271,0.08066031984154168,0.032817074227374836,0.00918301442622489,0.0003532343808663463,0.014818696682462305,0.05081545177228737,-0.01293381116730579,-1.0986732321780441,0.2719106222819162,4.2412243202671895e-05,0.004368749910719615,0.9965142529843787,-0.08282973544365128,-0.06704179210172198,-0.39246509534007135,0.6947145967314348,-0.011168527012908453,-0.01316134537508136,0.04926661674642256,0.9607068231743424,-0.11293601238584305,0.08631195384649633,0.7752,-0.0973931594737619,0.09885508384648647,0.9628
cn,critical,GPT_first_substantive_large_cosine,VGGFace2_cosine,232477,27951,232477,True,0.1344089043344016,0.004534028355122783,4.612226301598865e-192,0.12552237205347758,0.14329543661532565,0.04860204133055896,0.003522511473604798,2.776580147854775e-43,0.04169804570716444,0.05550603695395348,27951,True,0.06544105275983118,0.01173854846577159,2.5759016735771597e-08,0.042433920536140965,0.0884481849835214,0.0636121860336836,0.009726505959569245,6.344498937735697e-11,0.044548584657513685,0.08267578740985351,0.06896785157457043,5.48070445930996,4.236356308102168e-08,-0.015010144703124638,-1.4509972813347567,0.14678061724216385,0.13850607127026993,0.15907546731207592,-0.5199743990112119,0.6030814187185256,0.07347617676760752,0.07153391269479846,0.04826342323207881,0.9615063045978159,-0.18200278509866266,0.14541891488414627,0.8044,-0.1276740414859149,0.14481789295504452,0.9804
cn,competent,GPT_first_substantive_large_cosine,VGGFace2_cosine,228567,27952,228567,True,0.16656568935140875,0.003549785886172709,0.0,0.15960823686168166,0.17352314184113585,0.05876452174414574,0.002746778532187649,1.949758222494784e-101,0.05338093474755015,0.06414810874074132,27952,True,0.10010106278890582,0.009975565074868143,3.8543375652784073e-23,0.08054931451672866,0.11965281106108298,0.06568323758908459,0.008452461329835924,8.87599600332397e-15,0.04911671780188866,0.08224975737628053,0.06646462656250293,6.277154492035989,3.44825413884803e-10,-0.006918715844938854,-0.7784710661244887,0.43629135751697223,0.24797507257389087,0.2930715158028964,-1.203021452764501,0.2289680189805856,0.25887421200127686,0.26648411381744996,-0.20204730223673814,0.8398797448380761,-0.2270286791281012,0.13848256161800557,0.6556,-0.14147303521142682,0.13130318898131302,0.8904
cn,practical,GPT_first_substantive_large_cosine,VGGFace2_cosine,231302,28110,231302,True,0.18753566397725424,0.003865027881872778,0.0,0.17996034852954046,0.19511097942496802,0.0672425410149444,0.002990805555574124,8.298558756392934e-112,0.061380669841256806,0.07310441218863198,28110,True,0.11790487252511364,0.010365882023486605,2.2483509205654538e-29,0.09758811709108872,0.13822162795913856,0.07049392190107014,0.008720215944555888,7.019022088884065e-16,0.05340261271232867,0.0875852310898116,0.0696307914521406,6.294024827924045,3.0933831504737303e-10,-0.0032513808861257404,-0.35268856915455304,0.7243219298717268,0.29886031410933045,0.39433145281805454,-2.6856817276301648,0.007238200084132881,0.29032833361729676,0.2774728560732435,0.3456311632907648,0.7296199228292166,-0.2962926026298306,0.1011909748208556,0.3528,-0.11941033456349671,0.1502707877348054,0.8708
cn,feminine,GPT_first_substantive_large_cosine,VGGFace2_cosine,228260,27434,228260,True,0.25306529336369765,0.0061567203541647835,0.0,0.24099834320664998,0.2651322435207453,1.2407880256267942,0.004743959252738393,0.0,1.2314900363473014,1.2500860149062871,27434,True,0.15867562561541293,0.016253522047843107,1.785747723757385e-22,0.12681930777971273,0.19053194345111313,0.9296867041538156,0.013206180837674008,0.0,0.9038030653386515,0.9555703429689797,0.09438966774828472,5.430776133876187,5.6109485351270845e-08,0.31110132147297864,22.170208448819313,6.660128366473703e-109,0.2408815532738381,0.2587848067735571,-0.4720177528125979,0.6369141170761903,0.6105596235231449,0.6352203381686128,-0.9963142353228119,0.31909748929287907,-0.06492087507343222,0.031043444656040867,0.534,-0.05726505217295914,0.0012403110058064422,0.0648
cn,strong,GPT_first_substantive_large_cosine,VGGFace2_cosine,233947,28359,233947,True,0.11444777054943771,0.004012089846048504,1.2760856637239514e-178,0.10658421894844379,0.12231132215043163,0.2318804123163502,0.0030955334286816025,0.0,0.22581327828319447,0.23794754634950593,28359,True,0.08847486515254013,0.010834790480188804,3.502308211608564e-16,0.06723906603133264,0.10971066427374762,0.2325035020601313,0.008887546667446516,1.7145242239508516e-148,0.21508423068101715,0.24992277343924543,0.025972905396897575,2.248003068263948,0.024575994269702618,-0.0006230897437810856,-0.06620721004589274,0.9472128565851496,0.17437033540985725,0.15767759486134283,0.42432512485008783,0.6713287182744332,0.33281513584226513,0.33994210470418956,-0.19864548982102467,0.8425400669186007,-0.0568755180191397,0.07699301954784801,0.5484,-0.09959228501678273,0.07732531816377645,0.8344
cn,young,GPT_first_substantive_large_cosine,VGGFace2_cosine,235144,28311,235144,True,0.3035378820407489,0.004162808973118451,0.0,0.29537892637891655,0.3116968377025812,0.2495539761647149,0.0032079827455977843,0.0,0.24326644552031731,0.25584150680911244,28311,True,0.26391036007834684,0.012087633702275365,1.0502286576578393e-104,0.24021903336357459,0.2876016867931191,0.3726472428948326,0.009843077441196245,9.301537598966253e-306,0.3533551656130493,0.39193932017661587,0.039627521962402046,3.0996875228456062,0.0019372490282018593,-0.1230932667301177,-11.890026896614255,1.333636308861251e-32,0.378128504256515,0.4515404774747505,-2.193993601127555,0.028235869574613534,0.3567136936340604,0.38151954778112723,-0.7099492733603836,0.47773559337909266,-0.12596493484521007,-0.027817855269791834,0.002,-0.06482158869599995,0.010030114202778958,0.156
cn,charismatic,GPT_first_substantive_large_cosine,VGGFace2_cosine,230857,28258,230857,True,0.0925669960329191,0.00406456562121409,5.384653652446331e-114,0.08460059380253981,0.10053339826329838,0.07732456788947048,0.0031720314404930935,6.10916800878294e-131,0.07110750050827531,0.08354163527066565,28258,True,0.10746630522686297,0.010957784128986557,1.5092331213896801e-22,0.08598944298368472,0.12894316747004123,0.11674724163697374,0.009077638347131317,1.1651644056390517e-37,0.09895539741191665,0.1345390858620308,-0.014899309193943874,-1.2748255405250508,0.20237099852875406,-0.03942267374750326,-4.099743453445218,4.136083746119867e-05,-0.020777374571361987,0.13738809778507546,-3.93128603442852,8.449267390222088e-05,0.09276186167778692,0.2743022539071719,-4.65894943031228,3.1782726165961396e-06,-0.3364061255818502,-0.00023866075763966682,0.0492,-0.3487472602898571,-0.01768847565638285,0.03
cn,trustworthy,GPT_first_substantive_large_cosine,VGGFace2_cosine,232537,28334,232537,True,0.10243812888392902,0.0038529979470911537,9.061905512196255e-155,0.0948863916751236,0.10998986609273444,0.04969926978131792,0.0029995040224624382,1.3167668758976328e-61,0.04382034992580852,0.05557818963682731,28334,True,0.0804602833701733,0.010431558183015579,1.530479866792127e-14,0.06001480502882869,0.10090576171151791,0.0633380030235998,0.008744073417886678,4.645261411572204e-13,0.046199934046367866,0.08047607200083175,0.021977845513755714,1.9763562365330003,0.04811444445994097,-0.013638733242281889,-1.4753774810310585,0.14011108611813144,0.06558782077268101,0.007060074370539175,1.4490409071030896,0.14732615896817633,0.051293019654843994,0.02928734283872992,0.5448520223936149,0.5858552959628711,-0.09895705795581393,0.2310298952424583,0.4936,-0.1030791337560409,0.15762056027192717,0.7564
cn,attractive,GPT_first_substantive_large_cosine,VGGFace2_cosine,232610,28286,232610,True,0.2087013321795171,0.004449637324448403,0.0,0.19998020327933308,0.21742246107970115,0.19206498659288157,0.0034398055405703396,0.0,0.18532309161954238,0.19880688156622076,28286,True,0.21238885880109423,0.011593285290304903,2.3725920173115875e-74,0.18966643716959863,0.23511128043258983,0.21450880860176108,0.0094843776861215,3.830553204360806e-112,0.19591976992118762,0.23309784728233454,-0.0036875266215771196,-0.29695319194749126,0.766502245413613,-0.02244382200887951,-2.224607872989025,0.02610757365631629,0.2210676440233516,0.2576870991208155,-0.9603370684382205,0.3368855996508259,0.3563338483843782,0.43186718014017983,-2.212531872206864,0.02692993648424753,-0.15860079350487005,0.07470537110628594,0.4968,-0.18357859165558252,0.018631144911367657,0.126
