dataset,trait,sem_model,vis_model,n_pairs_rec,n_pairs_unrec,n_obs_rec,converged_rec,sem_dissim_z_beta_rec,sem_dissim_z_se_rec,sem_dissim_z_p_rec,sem_dissim_z_ci_lower_rec,sem_dissim_z_ci_upper_rec,vis_dissim_z_beta_rec,vis_dissim_z_se_rec,vis_dissim_z_p_rec,vis_dissim_z_ci_lower_rec,vis_dissim_z_ci_upper_rec,n_obs_unrec,converged_unrec,sem_dissim_z_beta_unrec,sem_dissim_z_se_unrec,sem_dissim_z_p_unrec,sem_dissim_z_ci_lower_unrec,sem_dissim_z_ci_upper_unrec,vis_dissim_z_beta_unrec,vis_dissim_z_se_unrec,vis_dissim_z_p_unrec,vis_dissim_z_ci_lower_unrec,vis_dissim_z_ci_upper_unrec,sem_dissim_z_delta,sem_dissim_z_delta_z,sem_dissim_z_delta_p,vis_dissim_z_delta,vis_dissim_z_delta_z,vis_dissim_z_delta_p,rsa_sem_r_rec,rsa_sem_r_unrec,fisher_z_sem,fisher_p_sem_naive,rsa_vis_r_rec,rsa_vis_r_unrec,fisher_z_vis,fisher_p_vis_naive,boot_delta_sem_lo,boot_delta_sem_hi,fisher_p_sem_identity,boot_delta_vis_lo,boot_delta_vis_hi,fisher_p_vis_identity
cn,warm,GPT_first_substantive_large_cosine,VGGFace2_cosine,317726,6988,317726,True,0.054835349460386165,0.003487350207099727,1.4606420925022647e-55,0.0480002686529924,0.06167043026777993,0.028471745254544302,0.0027471374362902094,3.679394453021382e-25,0.023087454818833796,0.03385603569025481,6988,True,0.027180574874958924,0.022894248375761074,0.2353590447073012,-0.017691327394647398,0.07205247714456525,0.041906324838845994,0.01946290392562802,0.03137074428217455,0.0037597341100518503,0.08005291556764013,0.02765477458542724,1.194161034638144,0.2324149819579563,-0.013434579584301692,-0.6834910608794375,0.4942965968496288,-0.09317033828213177,,,,-0.031237819760857034,,,,-0.08718344606447655,0.14203391130651083,1.0,-0.10389713315651619,0.09756367374297652,0.9627601314348302
cn,critical,GPT_first_substantive_large_cosine,VGGFace2_cosine,317894,6697,317894,True,0.12839813322118548,0.0038309533310038834,4.1835534865779434e-245,0.12088960266596412,0.13590666377640684,0.04965894174667579,0.0030019759521283953,1.97329870321421e-61,0.043775176998048795,0.05554270649530278,6697,True,0.08914253261849085,0.024313801267159974,0.00025608976784768716,0.04148835780759298,0.1367967074293887,0.07763455049378865,0.020847642793568613,0.00019916368568155703,0.036773921455838174,0.11849517953173912,0.03925560060269463,1.5948640958664768,0.1107426300599931,-0.027975608747112857,-1.3282080894658421,0.1841093727359714,0.1672063409376801,,,,0.09468753896338307,,,,-0.19679146794042646,0.16082882517713357,0.8444193912063134,-0.13183324507170913,0.13770856011290084,1.0
cn,competent,GPT_first_substantive_large_cosine,VGGFace2_cosine,313478,6673,313478,True,0.14366037911177149,0.0031502904827335736,0.0,0.13748592322477438,0.1498348349987686,0.06210827813405673,0.0024646446151547364,5.888762725640094e-140,0.057277663453662864,0.06693889281445059,6673,True,0.11794764811320829,0.021926049252104104,8.865173494657853e-08,0.07497338125583286,0.16092191497058372,0.08547686538639025,0.018765383331020718,5.413437799699619e-06,0.04869738990150138,0.12225634087127912,0.025712730998563194,1.160782396460842,0.2457304035774449,-0.023368587252333525,-1.2346990925837618,0.21694251373923001,0.1904738469612967,,,,0.23709786687921497,,,,-0.11059459960931453,0.26516477686172135,1.0,-0.07271511476371108,0.2396800706474406,1.0
cn,practical,GPT_first_substantive_large_cosine,VGGFace2_cosine,316732,6742,316732,True,0.1728599484496196,0.003345252094430014,0.0,0.1663033748253296,0.17941652207390962,0.07434363605731505,0.002616729341424805,2.729356650627629e-177,0.06921494079083322,0.07947233132379687,6742,True,0.11673866922382405,0.023012194461516974,4.340414750767441e-07,0.07163559687401869,0.1618417415736294,0.07900683014644497,0.019501815808750027,5.1867474289213904e-05,0.04078397352816106,0.11722968676472888,0.05612127922579556,2.4133959115252415,0.015804641437271783,-0.004663194089129921,-0.23699201446222762,0.8126629853486974,0.26106871459840053,,,,0.2919835209777222,,,,-0.1462851598326614,0.2812116965627942,1.0,-0.014507663202902314,0.2842505383842187,1.0
cn,feminine,GPT_first_substantive_large_cosine,VGGFace2_cosine,312186,6633,312186,True,0.2527791218715076,0.005184629329211442,0.0,0.2426174351130631,0.26294080862995206,1.1891212163760745,0.004036848611774053,0.0,1.1812091384859569,1.197033294266192,6633,True,0.08401504583561997,0.03344986137550128,0.01206111969900788,0.018454522251780042,0.1495755694194599,0.802730692048053,0.027470773111499616,2.233871947192778e-175,0.7488889661220425,0.8565724179740636,0.1687640760358876,4.98575115995638,6.172154166872209e-07,0.38639052432802146,13.916060632135224,5.060364992428989e-44,0.2373130916314323,,,,0.6158293072530806,,,,-0.03505788209215617,0.11672079454397949,1.0,-0.017214478250803623,0.09897573700957174,1.0
cn,strong,GPT_first_substantive_large_cosine,VGGFace2_cosine,319619,6952,319619,True,0.11281739164622677,0.0034437320707093417,5.988383902148975e-235,0.10606780081523091,0.11956698247722262,0.23128302493701144,0.002684122654103356,0.0,0.22602224120488082,0.23654380866914207,6952,True,0.05995329310601118,0.022161002362621824,0.006853772850684474,0.016518526613965363,0.103388059598057,0.2288581387111946,0.01824374607896597,1.2016601333920964e-35,0.19310105345332745,0.26461522396906173,0.05286409854021559,2.357165548672839,0.01841503520570174,0.0024248862258168524,0.13150041955609396,0.8953794546991045,0.17542428390605833,,,,0.35012328585594105,,,,-0.005647447466291522,0.2566102632646806,1.0,-0.06035271906107124,0.27432054290084185,1.0
cn,young,GPT_first_substantive_large_cosine,VGGFace2_cosine,321037,6866,321037,True,0.3046390400891677,0.0035615946829249522,0.0,0.29765844278310544,0.31161963739522996,0.25927441087783404,0.0027740385206419366,0.0,0.2538373952856491,0.264711426470019,6866,True,0.28917154712349963,0.02597115463709528,1.8418069978164507e-28,0.23826901939787248,0.3400740748491268,0.4483878572273893,0.021365885391153906,1.250598123437838e-94,0.40651149136291714,0.4902642230918614,0.015467492965668073,0.5900418682062024,0.5551625803029098,-0.18911344634955524,-8.777514374241342,1.6712715288389362e-18,0.38552278986635435,,,,0.3606095423487502,,,,-0.10419649983388647,0.05916471704351577,0.6168831168831169,-0.060370212218589625,0.0724148853621588,1.0
cn,charismatic,GPT_first_substantive_large_cosine,VGGFace2_cosine,315962,6898,315962,True,0.11239220363297148,0.0035614964909526274,1.545514738769613e-216,0.10541179877963855,0.1193726084863044,0.07624229376204367,0.002802253241542744,1.2000539550279686e-162,0.07074997833305927,0.08173460919102807,6898,True,0.15348341788646028,0.023320270767086926,5.709328099523316e-11,0.10777652707324765,0.1991903086996729,0.16130634900811566,0.019524191376694044,1.8198007041138962e-16,0.12303963708252785,0.19957306093370347,-0.0410912142534888,-1.7418424296112869,0.08153601999451322,-0.085064055246072,-4.312660097390362,1.6130200125906623e-05,0.026748585241600713,,,,0.09572573564499207,,,,-0.3288459810506872,0.01733688004431138,0.09244644870349493,-0.36730302940830717,-0.04668940124398726,0.005636978579481398
cn,trustworthy,GPT_first_substantive_large_cosine,VGGFace2_cosine,317773,6944,317773,True,0.09899666479399015,0.0033366428207990974,6.5145558753451936e-192,0.09245696503594979,0.10553636455203051,0.04956708000644769,0.0026262957587742963,2.2725624740988598e-79,0.04441963490649978,0.0547145251063956,6944,True,0.08970851062808716,0.02281920294733783,8.688756588013244e-05,0.04498369469539477,0.13443332656077955,0.07581501003640671,0.019079254623205543,7.176634233216983e-05,0.03842035812305454,0.11320966194975889,0.009288154165902993,0.40274963606077985,0.6871324149275482,-0.026247930029959024,-1.3628800523229647,0.1729203163734302,0.03809060328862376,,,,0.06447887474728879,,,,-0.08779639749453676,0.30042913984322095,1.0,-0.09085089319487977,0.25319439635407326,1.0
cn,attractive,GPT_first_substantive_large_cosine,VGGFace2_cosine,317986,6957,317986,True,0.22287441605650982,0.0038094399942304818,0.0,0.2154080508665516,0.23034078124646803,0.18510367757231058,0.0029736260733698805,0.0,0.17927547756501636,0.1909318775796048,6957,True,0.20340941600628776,0.02464058232183434,2.0637697262102572e-16,0.1551147620973981,0.2517040699151774,0.30222684965311836,0.020390813859222697,7.658383411939576e-49,0.2622615888735817,0.342192110432655,0.01946500005022206,0.7806824360827755,0.4349892933498144,-0.11712317208080777,-5.68379811831627,1.3173577448045815e-08,0.23771592160518365,,,,0.3521538403289538,,,,-0.11459499632015858,0.17327479820512123,1.0,-0.15264487269479082,0.16259857562593236,0.9580381471389646
