dataset,trait,sem_model,vis_model,n_pairs_rec,n_pairs_unrec,n_obs_rec,converged_rec,sem_dissim_z_beta_rec,sem_dissim_z_se_rec,sem_dissim_z_p_rec,sem_dissim_z_ci_lower_rec,sem_dissim_z_ci_upper_rec,vis_dissim_z_beta_rec,vis_dissim_z_se_rec,vis_dissim_z_p_rec,vis_dissim_z_ci_lower_rec,vis_dissim_z_ci_upper_rec,n_obs_unrec,converged_unrec,sem_dissim_z_beta_unrec,sem_dissim_z_se_unrec,sem_dissim_z_p_unrec,sem_dissim_z_ci_lower_unrec,sem_dissim_z_ci_upper_unrec,vis_dissim_z_beta_unrec,vis_dissim_z_se_unrec,vis_dissim_z_p_unrec,vis_dissim_z_ci_lower_unrec,vis_dissim_z_ci_upper_unrec,sem_dissim_z_delta,sem_dissim_z_delta_z,sem_dissim_z_delta_p,vis_dissim_z_delta,vis_dissim_z_delta_z,vis_dissim_z_delta_p,rsa_sem_r_rec,rsa_sem_r_unrec,fisher_z_sem,fisher_p_sem_naive,rsa_vis_r_rec,rsa_vis_r_unrec,fisher_z_vis,fisher_p_vis_naive,boot_delta_sem_lo,boot_delta_sem_hi,fisher_p_sem_identity,boot_delta_vis_lo,boot_delta_vis_hi,fisher_p_vis_identity
cn,warm,GPT_first_substantive_large_cosine,VGGFace2_cosine,191924,46810,191924,True,0.04638036264146077,0.00441956286578898,1.0055947749821528e-25,0.03771817859710374,0.055042546685817796,0.03498001164293806,0.0034494134608805257,3.7285796674461624e-24,0.02821928549182457,0.041740737794051554,46810,True,0.04991856390306677,0.008509321175164349,4.6733613110886465e-09,0.033240600866860606,0.06659652693927294,0.02173106518972887,0.007016394479650714,0.0019563003997083574,0.00797918470828782,0.03548294567116992,-0.0035382012616060055,-0.3690011553613697,0.7121268635994311,0.013248946453209193,1.694573389343,0.09015637869921306,-0.07044189290724445,-0.08912729202610897,0.46484632351164,0.6420415117373642,-0.018844575350531727,0.0005365865759027916,-0.4791267399191639,0.6318484678399499,-0.08925120609504664,0.13181183794925538,0.7276,-0.11321581018218364,0.07682752878362975,0.686
cn,critical,GPT_first_substantive_large_cosine,VGGFace2_cosine,192065,46176,192065,True,0.1367379098834576,0.005008382618208093,3.732927978862658e-163,0.12692166033097332,0.14655415943594188,0.050468846674093445,0.0038919487576787796,1.96504056931184e-38,0.042840767279367635,0.058096926068819256,46176,True,0.07013853415712312,0.009012794667766874,8.312682314591965e-15,0.05247378120824541,0.08780328710600083,0.05255457171806933,0.0074347699010578515,1.6132964222039552e-12,0.03798269047865352,0.06712645295748514,0.06659937572633448,6.459132375639769,1.0530496887756669e-10,-0.002085725043975882,-0.24854188244599534,0.8037151689212437,0.13059744615627653,0.20512058305554726,-1.896511110168326,0.05789249228292699,0.057166729660869234,0.1446042777656552,-2.185006465513497,0.028888372534067328,-0.22717704480744408,0.069057509164568,0.3408,-0.19921901822309104,0.03740275628612145,0.1632
cn,competent,GPT_first_substantive_large_cosine,VGGFace2_cosine,188278,46266,188278,True,0.1709143863749332,0.0038249352435943914,0.0,0.16341765105429026,0.17841112169557613,0.05730876224585189,0.0029576489322403433,1.4909292025797523e-83,0.051511876859747466,0.06310564763195631,46266,True,0.09087960536421838,0.0077520460174036725,4.920719739553832e-31,0.07568587436361002,0.10607333636482674,0.0637044418176919,0.006490508431648516,1.1718093454439788e-22,0.050983279050307265,0.07642560458507654,0.08003478101071482,9.258650628927207,2.070319684730319e-20,-0.006395679571840014,-0.8966792148799406,0.36989011480497547,0.2674675808333121,0.26924382891572235,-0.04731330991367174,0.9622635201860876,0.2614719297180536,0.2934172895697179,-0.855595591528509,0.39222150926179533,-0.1543189196582192,0.16016103376358642,1.0,-0.15477488875280987,0.09197485876102283,0.588
cn,practical,GPT_first_substantive_large_cosine,VGGFace2_cosine,190818,46367,190818,True,0.19488503569078855,0.004222806380747217,0.0,0.18660848727083806,0.20316158411073904,0.06666730915078731,0.0032669078137154586,1.8709530096058418e-92,0.06026428749509252,0.07307033080648209,46367,True,0.11914621343843756,0.008062648658065137,4.340715898845715e-48,0.1033437124486297,0.13494871442824544,0.0661964630533514,0.006709625630907356,6.849924637071743e-23,0.05304583846702615,0.07934708763967666,0.07573882225235098,8.321520819245851,8.684176002247656e-17,0.00047084609743590355,0.06309333628858606,0.9496921805999664,0.3051416651489307,0.3737137533325623,-1.916995963491849,0.055238444458118,0.2931182978901185,0.3112178228644854,-0.49236615557824903,0.6224605204269731,-0.2343639797549522,0.09440757434873896,0.4532,-0.13746889601778403,0.09695691561956925,0.754
cn,feminine,GPT_first_substantive_large_cosine,VGGFace2_cosine,188389,45306,188389,True,0.25645186095669814,0.006783449360628566,1.411864648711e-311,0.24315654451891489,0.2697471773944814,1.2637937701835344,0.005223854584977075,0.0,1.253555203336505,1.274032337030564,45306,True,0.1449595334560666,0.0127751412814399,8.462892086079398e-30,0.11992071664703353,0.16999835026509968,0.960808651296465,0.010266563189655919,0.0,0.9406865571997347,0.9809307453931952,0.11149232750063154,7.708040447821807,1.2776425937896588e-14,0.30298511888706947,26.302716478603998,1.7852942259629204e-152,0.24068932630148304,0.27102356202194927,-0.8024215167215833,0.42230917072211027,0.610281939855877,0.630980789154098,-0.8323569266086221,0.4052075071743285,-0.07125148898831912,0.009083858645399503,0.138,-0.045314520730340965,0.0036248319017802297,0.0916
cn,strong,GPT_first_substantive_large_cosine,VGGFace2_cosine,192997,46791,192997,True,0.1165158651120522,0.0044223564222462255,1.159525140324223e-152,0.10784820579765018,0.1251835244264542,0.23241283546624528,0.0034105433176917417,0.0,0.2257282933958557,0.23909737753663485,46791,True,0.08778837985591387,0.008428067531428475,2.386279627932255e-25,0.07126967103504266,0.10430708867678508,0.22656837955566503,0.006824430159788719,2.8446650510793938e-238,0.21319274222747023,0.23994401688385983,0.02872748525613833,3.01827313764603,0.0025421966213013303,0.0058444559105802485,0.7660643205606219,0.44363803145585123,0.17285489726069872,0.1636857486620876,0.23325317829938375,0.8155648141402957,0.3202675784832693,0.3923584696813869,-2.0427140055865975,0.04108075756119329,-0.04584847207254007,0.059876874656029117,0.6936,-0.1635813523928045,0.01102273487884301,0.0972
cn,young,GPT_first_substantive_large_cosine,VGGFace2_cosine,193999,46797,193999,True,0.30337212501114175,0.004605899834002904,0.0,0.294344727220097,0.31239952280218647,0.251272204342207,0.003546819334273598,0.0,0.2443205661873604,0.25822384249705355,46797,True,0.27853655275735384,0.009156684461525101,4.0343321423044536e-201,0.2605897809949671,0.2964833245197406,0.3283401362739757,0.007372844590460656,0.0,0.31388962641306184,0.3427906461348895,0.024835572253787908,2.4230209016121558,0.015392041049712289,-0.0770679319317687,-9.419651993792254,4.5258555293994415e-21,0.3757377600306028,0.431027840426773,-1.633168463365702,0.10243357070782232,0.35489733250559596,0.38130045151258257,-0.7550169819588288,0.4502387928880458,-0.09894803526228985,-0.01443010979917527,0.008,-0.06027893438067472,0.0010201289653688328,0.0592
cn,charismatic,GPT_first_substantive_large_cosine,VGGFace2_cosine,190517,46506,190517,True,0.08710020242685745,0.004453274751119064,9.478407072367994e-85,0.07837194430140251,0.0958284605523124,0.07863353011195368,0.0034727746945237606,2.907512078143635e-113,0.07182701678426502,0.08544004343964233,46506,True,0.1132137280635768,0.008515602149894315,5.121177561923125e-40,0.09652345454311209,0.1299040015840415,0.09892534317286343,0.006952441704747472,8.86917879684178e-46,0.08529880782694413,0.11255187851878273,-0.026113525636719342,-2.717401402579942,0.006579675618339199,-0.020291813060909755,-2.611046295795609,0.009026567315483291,-0.03204929616887308,0.13536030138985594,-4.1590337489096125,3.195966810053603e-05,0.09042553755735748,0.25508908745434106,-4.206465654827265,2.593954833331342e-05,-0.3427001989206146,-0.0013601314817192106,0.0472,-0.3274855774917456,-0.00016333229103405317,0.0496
cn,trustworthy,GPT_first_substantive_large_cosine,VGGFace2_cosine,191654,46775,191654,True,0.10497780979165239,0.004231389659236791,4.1205509345416093e-135,0.09668443845499307,0.11327118112831171,0.04903941469282263,0.0032921294823901894,3.834308522131242e-50,0.04258695947489537,0.05549186991074989,46775,True,0.08721510313602109,0.00799660309936395,2.3650550680416404e-27,0.07154204906260637,0.1028881572094358,0.0578633582928538,0.00665224809773151,3.675363729599108e-18,0.044825191605074956,0.07090152498063264,0.017762706655631302,1.963355547832082,0.049604875171922656,-0.008823943600031171,-1.1888423914417183,0.23450169309621827,0.0726380927574945,0.08180193109298016,-0.2278759931336158,0.8197426464524619,0.05074873016090612,0.059857471329737004,-0.2258459523425987,0.8213212354696469,-0.1775109514872625,0.16273463683934364,0.9244,-0.14005821119948092,0.1234521102758004,0.8848
cn,attractive,GPT_first_substantive_large_cosine,VGGFace2_cosine,192030,46613,192030,True,0.20890980126964767,0.004892934161668682,0.0,0.19931982653405136,0.21849977600524398,0.19845276082756055,0.00378362359437901,0.0,0.1910369948515217,0.2058685268035994,46613,True,0.21921400589520895,0.00906043857884024,3.455655227423031e-128,0.20145587259654482,0.23697213919387308,0.18410220898328614,0.0073316815663647785,3.9289447082998437e-138,0.16973237716709497,0.1984720407994773,-0.01030420462556128,-1.0006801318797716,0.316981475786138,0.014350551844274417,1.7393731495934317,0.08196914800510771,0.22855295462393765,0.2704903834477856,-1.1056721937401741,0.2688684296043843,0.35453206404911064,0.4394101740504203,-2.4936358870558237,0.012644217570942435,-0.15450069567918231,0.0616724012426338,0.3968,-0.19131113840660877,0.0037122078537102907,0.0576
