dataset,variant,trait,target,n_pairs_dropped,dfbeta_sem,dfbeta_vis,beta_sem_full,beta_vis_full,z_sem,z_vis
cn,midpoint,warm,0,7703,0.0006866368939554314,-0.0017971706360687114,-0.015632257798279852,-0.004819556847563992,0.17633746314012405,-0.5399642812868424
cn,midpoint,warm,1,11747,0.001450384846722174,-0.0033171766149726997,-0.015632257798279852,-0.004819556847563992,0.37118634401608364,-0.9900425605106185
cn,midpoint,warm,2,9491,-0.0036677430686169986,-0.002584482529387402,-0.015632257798279852,-0.004819556847563992,-0.9345605229590491,-0.7730896683414363
cn,midpoint,warm,3,11116,-0.00047298731008460493,-0.0008864773719863845,-0.015632257798279852,-0.004819556847563992,-0.11950814610222855,-0.27030530435676015
cn,midpoint,warm,4,11295,0.0023385578232061888,0.0002908036448990006,-0.015632257798279852,-0.004819556847563992,0.5977787818291833,0.078291096970988
cn,midpoint,warm,5,9900,0.0026420822121748094,0.00043435990080614197,-0.015632257798279852,-0.004819556847563992,0.6752145213226254,0.12079853018324607
cn,midpoint,warm,6,8130,-0.0029803684773952906,0.0064124480893191435,-0.015632257798279852,-0.004819556847563992,-0.7591961643942478,1.890928175906084
cn,midpoint,warm,7,10304,0.0020955441636361094,-0.001383315478671804,-0.015632257798279852,-0.004819556847563992,0.5357806587137386,-0.4174205415422168
cn,midpoint,warm,8,10396,-0.0037616205898248697,-0.0004604953968952068,-0.015632257798279852,-0.004819556847563992,-0.9585107409341006,-0.14417077792047098
cn,midpoint,warm,9,9656,-0.001714162412948748,-0.0021487817793683587,-0.015632257798279852,-0.004819556847563992,-0.4361591811565163,-0.6440773838197146
cn,midpoint,warm,10,11475,0.0006746115741535393,0.0025337583356391585,-0.015632257798279852,-0.004819556847563992,0.17326953988470184,0.7424366342886362
cn,midpoint,warm,11,11204,0.005037793370682657,-0.0033183379833785333,-0.015632257798279852,-0.004819556847563992,1.2864130671861838,-0.9903864451406114
