dataset,trait,sem_model,vis_model,n_trials_rec,n_trials_unrec,min_n_rec_per_target,min_n_unrec_per_target,unique_sem_rec,unique_sem_unrec,delta_unique_sem,p_unique_sem,p_unique_sem_maxt,unique_vis_rec,unique_vis_unrec,delta_unique_vis,p_unique_vis,p_unique_vis_maxt,shared_rec,shared_unrec,total_r2_rec,total_r2_unrec,rsa_sem_r_rec,rsa_sem_r_unrec,rsa_vis_r_rec,rsa_vis_r_unrec,reliability_rec,reliability_unrec,n_perm
cn,warm,GPT_first_substantive_large_cosine,VGGFace2_cosine,12185,3680,107,6,0.006271685761590318,0.006454738044694652,-0.00018305228310433463,0.9782043591281744,1.0,0.00017913094233790172,0.00036119029735381947,-0.00018205935501591775,0.6162767446510697,1.0,0.00012820221580978064,-0.00021880755769310145,0.006579018919738,0.00659712078435537,-0.08282973544365128,-0.06704179210172198,-0.011168527012908455,-0.013161345375081361,0.8825393241143716,0.42230775293163986,5000
cn,critical,GPT_first_substantive_large_cosine,VGGFace2_cosine,12173,3642,106,6,0.018737952012976566,0.02182867506629871,-0.003090723053322142,0.871625674865027,1.0,3.983905212967542e-05,0.0006278717341653417,-0.0005880326820356663,0.5018996200759848,1.0,0.002306893544931521,0.0068810017256112355,0.021084684610037763,0.029337548526075286,0.13850607127026993,0.15907546731207592,0.07347617676760752,0.07153391269479846,0.9029929485259015,0.5799622362152351,5000
cn,competent,GPT_first_substantive_large_cosine,VGGFace2_cosine,12027,3627,105,6,0.032965617918636614,0.03342770832939446,-0.00046209041075784274,0.9582083583283343,1.0,0.032084120906848534,0.040458881245632905,-0.00837476033878437,0.4875024995001,0.9898020395920816,0.03890740050092456,0.04404988598489046,0.10395713932640971,0.11793647555991782,0.24797507257389087,0.2930715158028964,0.25887421200127686,0.26648411381744996,0.9291037979806291,0.5787115486437241,5000
cn,practical,GPT_first_substantive_large_cosine,VGGFace2_cosine,12177,3663,105,6,0.04602731200802013,0.07866271513087597,-0.032635403122855844,0.008798240351929614,0.028794241151769647,0.04018428932099216,0.033274066419747284,0.006910222901244878,0.7056588682263547,0.9976004799040192,0.05148184870594208,0.06277082719905702,0.13769345003495437,0.17470760874968028,0.29886031410933045,0.3943314528180545,0.29032833361729676,0.2774728560732435,0.9389884321882321,0.6379996352744789,5000
cn,feminine,GPT_first_substantive_large_cosine,VGGFace2_cosine,12099,3623,106,5,0.0002332241118745415,0.0003011899161435849,-6.796580426904342e-05,0.7114577084583084,1.0,0.2820170385372355,0.3209199216431906,-0.03890288310595513,0.0001999600079984003,0.06978604279144171,0.05304005877667173,0.060887127889598824,0.33529032142578175,0.382108239448933,0.2408815532738381,0.25878480677355703,0.6105596235231449,0.6352203381686128,0.9933549680423124,0.9707687680946248,5000
cn,strong,GPT_first_substantive_large_cosine,VGGFace2_cosine,12251,3683,107,6,0.010990205469500247,0.0051720204886763765,0.005818184980823871,0.14997000599880023,0.9966006798640272,0.08493095925579253,0.0992345329935882,-0.014303573737795672,0.4435112977404519,0.8852229554089183,0.04222151769288762,0.03672958277479588,0.1381426824181804,0.14113613625706045,0.17437033540985725,0.15767759486134283,0.33281513584226513,0.33994210470418956,0.9698817255662773,0.8441424640298844,5000
cn,young,GPT_first_substantive_large_cosine,VGGFace2_cosine,12300,3684,107,6,0.07908219562161423,0.11114385703914986,-0.032061661417535636,0.001999600079984003,0.033993201359728054,0.06018620679668951,0.06333428324798585,-0.0031480764512963333,0.6416716656668666,1.0,0.0827439188045005,0.10145879895763754,0.22201232122280423,0.27593693924477325,0.378128504256515,0.45154047747475046,0.3567136936340604,0.3815195477811272,0.9911657637519176,0.9340431615906204,5000
cn,charismatic,GPT_first_substantive_large_cosine,VGGFace2_cosine,12145,3674,108,6,0.0015839929680935283,0.003710872963933909,-0.0021268799958403806,0.7698460307938413,1.0,0.011147938820110115,0.060552438963253574,-0.04940450014314346,0.0001999600079984003,0.008398320335932814,-0.0015839007800276805,0.02351778575983665,0.011148031008175963,0.08778109768702413,-0.020777374571361987,0.13738809778507546,0.09276186167778692,0.2743022539071719,0.8752473408176037,0.5874825219430203,5000
cn,trustworthy,GPT_first_substantive_large_cosine,VGGFace2_cosine,12228,3679,105,6,0.0073248715103717554,9.851954264872287e-05,0.0072263519677230326,0.023595280943811237,0.9874025194961008,0.0007089852903104932,0.0017497516241058442,-0.001040766333795351,0.48470305938812236,1.0,0.0032925226082208825,-6.0332334138823995e-05,0.011326379408903131,0.001787938832615743,0.06558782077268101,0.007060074370539175,0.051293019654843994,0.029287342838729923,0.9015643831372219,0.2547543502838132,5000
cn,attractive,GPT_first_substantive_large_cosine,VGGFace2_cosine,12232,3686,106,6,0.013182067218921012,0.015018472956235929,-0.0018364057373149167,0.8898220355928814,1.0,0.0916295939222137,0.13821674203159262,-0.04658714810937892,0.008798240351929614,0.015396920615876825,0.04732825347806369,0.06462392572399378,0.1521399146191984,0.21785914071182233,0.2210676440233516,0.2576870991208155,0.3563338483843782,0.43186718014017983,0.9591034741224561,0.7949689291460809,5000
