dataset,split,outcome,n_targets,n_pairs,total_r2,unique_sem,unique_vis,unique_sem_p_perm,unique_vis_p_perm,unique_sem_p_maxt,unique_vis_p_maxt,unique_sem_ci_lower,unique_sem_ci_upper,unique_vis_ci_lower,unique_vis_ci_upper,diff_sem_minus_vis,diff_ci_lower,diff_ci_upper,diff_p_boot,n_perm,n_boot
cn,all,traitspace,50,1225,0.5167426934959389,0.025338502808309,0.3486577724743159,0.0003999200159968,0.0001999600079984,,,0.0020605471119827,0.0740539358232921,0.2413633079612904,0.4598543163290632,-0.3233192696660069,-0.4530570020391451,-0.1755083209597265,0.0002,5000,5000
cn,all,warm,50,1225,0.0086232857076572,0.0072200286350828,8.611357415382395e-06,0.1781643671265746,0.9448110377924416,0.749250149970006,1.0,3.264533538996151e-05,0.0355420495050526,3.2787292253551064e-06,0.0164397706844985,0.0072114172776674,-0.0100878935158003,0.0297527500845221,0.4424,5000,5000
cn,all,critical,50,1225,0.0340448931914119,0.0271755552219916,0.0002297435336939,0.016996600679864,0.7344531093781244,0.0675864827034593,1.0,0.0001755985769678,0.1119586678968299,6.200517415915278e-06,0.0325918678679973,0.0269458116882977,-0.0236302497084085,0.1069915130126054,0.346,5000,5000
cn,all,competent,50,1225,0.0462310713916015,0.0066024530514798,0.0237739233457476,0.1421715656868626,0.0001999600079984,0.7888422315536893,0.0045990801839632,1.1531195527465614e-05,0.0553665732032406,0.0007107063630969,0.0826090312153534,-0.0171714702942677,-0.0773499693255809,0.0411951805899645,0.5292,5000,5000
cn,all,practical,50,1225,0.0971115281787334,0.0182478885647098,0.0440393850199107,0.0075984803039392,0.0001999600079984,0.2239552089582083,0.0001999600079984,4.9442235560231984e-05,0.1000613978931543,0.0046168526875567,0.1301604437423548,-0.0257914964552009,-0.1239683573207855,0.0836373316453798,0.602,5000,5000
cn,all,feminine,50,1225,0.3474623949500124,0.0001124350232076,0.2943691519333762,0.6720655868826235,0.0001999600079984,1.0,0.0001999600079984,4.941108087523628e-06,0.0209290128807346,0.1844483166283199,0.4118912067029574,-0.2942567169101686,-0.4088363105300058,-0.1749962078283504,0.0002,5000,5000
cn,all,strong,50,1225,0.1516562432518181,0.0079846176712277,0.1011531483593612,0.1835632873425315,0.0001999600079984,0.6994601079784043,0.0001999600079984,2.0284431399353676e-05,0.0488812208936013,0.0275839952576567,0.2143557680823917,-0.0931685306881334,-0.206424729334825,-0.003709476669511,0.0388,5000,5000
cn,all,young,50,1225,0.2312684985605232,0.0832349140826384,0.0619037646936353,0.0001999600079984,0.0001999600079984,0.0001999600079984,0.0001999600079984,0.0241490775459232,0.1635630186388743,0.0107002654397257,0.1507565821103317,0.0213311493890031,-0.0999556210990256,0.1323293122551369,0.71,5000,5000
cn,all,charismatic,50,1225,0.024413866422444,0.0062612466114865,0.0090864381902524,0.2339532093581283,0.0325934813037392,0.8076384723055389,0.1845630873825235,1.7302294004771888e-05,0.0456361717479483,2.293686252532784e-05,0.0568455738254893,-0.0028251915787659,-0.0523996586783414,0.040899498410292,0.9152,5000,5000
cn,all,trustworthy,50,1225,0.0012518024076102,0.0001620759794581,0.0006680525880516,0.8162367526494702,0.5050989802039592,1.0,0.998000399920016,5.676427296282976e-06,0.0254583523278622,4.347319681752481e-06,0.0193987853731026,-0.0005059766085934,-0.0154171899907026,0.0233200189804051,0.9152,5000,5000
cn,all,attractive,50,1225,0.1699423737042312,0.027963167438979,0.0822692113120074,0.0091981603679264,0.0001999600079984,0.0613877224555089,0.0001999600079984,0.0008150286484778,0.1000007791819083,0.0176967636518888,0.1836521693870481,-0.0543060438730284,-0.1709625976191049,0.0623022245935366,0.3536,5000,5000
