"label","fit","level","group","type","term1","term2","value"
"fam_cn_competent","selected","L0","participant","sd","(Intercept)",NA,0.389140561111876
"fam_cn_competent","selected","L0","participant","sd","sem_dissim_z",NA,0.132359780831243
"fam_cn_competent","selected","L0","participant","sd","vis_dissim_z",NA,0.0907126881183779
"fam_cn_competent","selected","L0","participant","sd","FAM",NA,0.246845021922172
"fam_cn_competent","selected","L0","participant","sd","SXF",NA,0.105550710996723
"fam_cn_competent","selected","L0","participant","sd","VXF",NA,0.0718727494564488
"fam_cn_competent","selected","L0","participant","cor","(Intercept)","sem_dissim_z",0.170229996097473
"fam_cn_competent","selected","L0","participant","cor","(Intercept)","vis_dissim_z",0.362865516625463
"fam_cn_competent","selected","L0","participant","cor","sem_dissim_z","vis_dissim_z",-0.197222068339346
"fam_cn_competent","selected","L0","participant","cor","(Intercept)","FAM",-0.21031810299704
"fam_cn_competent","selected","L0","participant","cor","sem_dissim_z","FAM",0.127441582038459
"fam_cn_competent","selected","L0","participant","cor","vis_dissim_z","FAM",0.0643617124180944
"fam_cn_competent","selected","L0","participant","cor","(Intercept)","SXF",-0.113235180766994
"fam_cn_competent","selected","L0","participant","cor","sem_dissim_z","SXF",-0.228150955191081
"fam_cn_competent","selected","L0","participant","cor","vis_dissim_z","SXF",-0.0769937778454594
"fam_cn_competent","selected","L0","participant","cor","FAM","SXF",0.197588379338115
"fam_cn_competent","selected","L0","participant","cor","(Intercept)","VXF",0.10078374737311
"fam_cn_competent","selected","L0","participant","cor","sem_dissim_z","VXF",0.108552127141349
"fam_cn_competent","selected","L0","participant","cor","vis_dissim_z","VXF",0.15810662228817
"fam_cn_competent","selected","L0","participant","cor","FAM","VXF",0.130585159110819
"fam_cn_competent","selected","L0","participant","cor","SXF","VXF",-0.575936652447788
"fam_cn_competent","selected","L0","target1","sd","(Intercept)",NA,0.107246055805693
"fam_cn_competent","selected","L0","target1","sd","sem_dissim_z",NA,0.120176374003
"fam_cn_competent","selected","L0","target1","sd","vis_dissim_z",NA,0.0380848026757923
"fam_cn_competent","selected","L0","target1","sd","FAM",NA,0.0943245553870439
"fam_cn_competent","selected","L0","target1","sd","SXF",NA,0.0293611188828262
"fam_cn_competent","selected","L0","target1","sd","VXF",NA,0.0225250757805061
"fam_cn_competent","selected","L0","target1","cor","(Intercept)","sem_dissim_z",0.411228472778491
"fam_cn_competent","selected","L0","target1","cor","(Intercept)","vis_dissim_z",0.103861224722843
"fam_cn_competent","selected","L0","target1","cor","sem_dissim_z","vis_dissim_z",0.142960277914655
"fam_cn_competent","selected","L0","target1","cor","(Intercept)","FAM",0.571984079797134
"fam_cn_competent","selected","L0","target1","cor","sem_dissim_z","FAM",0.50700065765412
"fam_cn_competent","selected","L0","target1","cor","vis_dissim_z","FAM",-0.201308485801343
"fam_cn_competent","selected","L0","target1","cor","(Intercept)","SXF",0.719913358038567
"fam_cn_competent","selected","L0","target1","cor","sem_dissim_z","SXF",0.764508852259976
"fam_cn_competent","selected","L0","target1","cor","vis_dissim_z","SXF",-0.00481155181147097
"fam_cn_competent","selected","L0","target1","cor","FAM","SXF",0.848075696360142
"fam_cn_competent","selected","L0","target1","cor","(Intercept)","VXF",-0.299093285040768
