"label","fit","level","group","type","term1","term2","value"
"fam_cn_critical","selected","L2","participant","sd","(Intercept)",NA,0.411130726156705
"fam_cn_critical","selected","L2","participant","sd","sem_dissim_z",NA,0.142715708608025
"fam_cn_critical","selected","L2","participant","sd","vis_dissim_z",NA,0.089219903064291
"fam_cn_critical","selected","L2","participant","sd","FAM",NA,0.181502463929897
"fam_cn_critical","selected","L2","participant","sd","SXF",NA,0.0820776822166316
"fam_cn_critical","selected","L2","participant","sd","VXF",NA,0.0499099825971443
"fam_cn_critical","selected","L2","participant","cor","(Intercept)","sem_dissim_z",0.241562776743648
"fam_cn_critical","selected","L2","participant","cor","(Intercept)","vis_dissim_z",0.243359972328178
"fam_cn_critical","selected","L2","participant","cor","sem_dissim_z","vis_dissim_z",0.174526582466645
"fam_cn_critical","selected","L2","participant","cor","(Intercept)","FAM",-0.00439203768031627
"fam_cn_critical","selected","L2","participant","cor","sem_dissim_z","FAM",0.184527492457326
"fam_cn_critical","selected","L2","participant","cor","vis_dissim_z","FAM",-0.0219927999662418
"fam_cn_critical","selected","L2","participant","cor","(Intercept)","SXF",0.0659519901404342
"fam_cn_critical","selected","L2","participant","cor","sem_dissim_z","SXF",0.141204341714316
"fam_cn_critical","selected","L2","participant","cor","vis_dissim_z","SXF",-0.0209591222159581
"fam_cn_critical","selected","L2","participant","cor","FAM","SXF",0.139568514226566
"fam_cn_critical","selected","L2","participant","cor","(Intercept)","VXF",-0.0132284090831618
"fam_cn_critical","selected","L2","participant","cor","sem_dissim_z","VXF",-0.138669204178048
"fam_cn_critical","selected","L2","participant","cor","vis_dissim_z","VXF",-0.10552221760737
"fam_cn_critical","selected","L2","participant","cor","FAM","VXF",0.237155721065514
"fam_cn_critical","selected","L2","participant","cor","SXF","VXF",-0.17175681788474
"fam_cn_critical","selected","L2","target1","sd","(Intercept)",NA,0.115099738128681
"fam_cn_critical","selected","L2","target1","sd","sem_dissim_z",NA,0.113717375145721
"fam_cn_critical","selected","L2","target1","sd","vis_dissim_z",NA,0.051532564847226
"fam_cn_critical","selected","L2","target1","cor","(Intercept)","sem_dissim_z",0.0124549333915074
"fam_cn_critical","selected","L2","target1","cor","(Intercept)","vis_dissim_z",0.232289051847931
"fam_cn_critical","selected","L2","target1","cor","sem_dissim_z","vis_dissim_z",-0.423564537549672
"fam_cn_critical","selected","L2","target2","sd","(Intercept)",NA,0.136878590645854
"fam_cn_critical","selected","L2","target2","sd","sem_dissim_z",NA,0.150408395433445
"fam_cn_critical","selected","L2","target2","sd","vis_dissim_z",NA,0.0664953589005426
"fam_cn_critical","selected","L2","target2","cor","(Intercept)","sem_dissim_z",-0.33099787424832
"fam_cn_critical","selected","L2","target2","cor","(Intercept)","vis_dissim_z",0.665205005769951
"fam_cn_critical","selected","L2","target2","cor","sem_dissim_z","vis_dissim_z",-0.327464032654674
"fam_cn_critical","selected","L2","Residual","sd","(Observation)",NA,1.36064736236081
"fam_cn_critical","nointer","L2","participant","sd","(Intercept)",NA,0.41120709955315
"fam_cn_critical","nointer","L2","participant","sd","sem_dissim_z",NA,0.142822857502671
"fam_cn_critical","nointer","L2","participant","sd","vis_dissim_z",NA,0.0891907920361654
"fam_cn_critical","nointer","L2","participant","sd","FAM",NA,0.181621877757318
"fam_cn_critical","nointer","L2","participant","sd","SXF",NA,0.0822333157002892
"fam_cn_critical","nointer","L2","participant","sd","VXF",NA,0.0500060538051692
"fam_cn_critical","nointer","L2","participant","cor","(Intercept)","sem_dissim_z",0.240548525118001
"fam_cn_critical","nointer","L2","participant","cor","(Intercept)","vis_dissim_z",0.243852548068922
"fam_cn_critical","nointer","L2","participant","cor","sem_dissim_z","vis_dissim_z",0.174661858447417
"fam_cn_critical","nointer","L2","participant","cor","(Intercept)","FAM",-0.00500873308412282
"fam_cn_critical","nointer","L2","participant","cor","sem_dissim_z","FAM",0.187657416725183
"fam_cn_critical","nointer","L2","participant","cor","vis_dissim_z","FAM",-0.0249903343617981
"fam_cn_critical","nointer","L2","participant","cor","(Intercept)","SXF",0.0730828155789943
"fam_cn_critical","nointer","L2","participant","cor","sem_dissim_z","SXF",0.144289534386902
"fam_cn_critical","nointer","L2","participant","cor","vis_dissim_z","SXF",-0.0232639789684682
"fam_cn_critical","nointer","L2","participant","cor","FAM","SXF",0.136114696462961
"fam_cn_critical","nointer","L2","participant","cor","(Intercept)","VXF",-0.0204400449242128
"fam_cn_critical","nointer","L2","participant","cor","sem_dissim_z","VXF",-0.14126705901825
"fam_cn_critical","nointer","L2","participant","cor","vis_dissim_z","VXF",-0.104963979448481
"fam_cn_critical","nointer","L2","participant","cor","FAM","VXF",0.239890561219832
"fam_cn_critical","nointer","L2","participant","cor","SXF","VXF",-0.173582705622349
"fam_cn_critical","nointer","L2","target1","sd","(Intercept)",NA,0.115074158033446
"fam_cn_critical","nointer","L2","target1","sd","sem_dissim_z",NA,0.11372947449467
"fam_cn_critical","nointer","L2","target1","sd","vis_dissim_z",NA,0.0516028942602872
"fam_cn_critical","nointer","L2","target1","cor","(Intercept)","sem_dissim_z",0.0148109994689062
"fam_cn_critical","nointer","L2","target1","cor","(Intercept)","vis_dissim_z",0.228995136863391
"fam_cn_critical","nointer","L2","target1","cor","sem_dissim_z","vis_dissim_z",-0.42440698743773
"fam_cn_critical","nointer","L2","target2","sd","(Intercept)",NA,0.136896121973652
"fam_cn_critical","nointer","L2","target2","sd","sem_dissim_z",NA,0.150515543372014
"fam_cn_critical","nointer","L2","target2","sd","vis_dissim_z",NA,0.0664873470821368
"fam_cn_critical","nointer","L2","target2","cor","(Intercept)","sem_dissim_z",-0.331394741082493
"fam_cn_critical","nointer","L2","target2","cor","(Intercept)","vis_dissim_z",0.66577085173199
"fam_cn_critical","nointer","L2","target2","cor","sem_dissim_z","vis_dissim_z",-0.327991836644772
"fam_cn_critical","nointer","L2","Residual","sd","(Observation)",NA,1.36065313719396
