"label","fit","level","group","type","term1","term2","value"
"fam_cn_feminine","selected","L0","participant","sd","(Intercept)",NA,0.238624598831192
"fam_cn_feminine","selected","L0","participant","sd","sem_dissim_z",NA,0.116434132490362
"fam_cn_feminine","selected","L0","participant","sd","vis_dissim_z",NA,0.216800526996289
"fam_cn_feminine","selected","L0","participant","sd","FAM",NA,0.0759935458837502
"fam_cn_feminine","selected","L0","participant","sd","SXF",NA,0.0754808191143708
"fam_cn_feminine","selected","L0","participant","sd","VXF",NA,0.0940619094877161
"fam_cn_feminine","selected","L0","participant","cor","(Intercept)","sem_dissim_z",0.16269980743065
"fam_cn_feminine","selected","L0","participant","cor","(Intercept)","vis_dissim_z",0.7681860932356
"fam_cn_feminine","selected","L0","participant","cor","sem_dissim_z","vis_dissim_z",-0.234928300173193
"fam_cn_feminine","selected","L0","participant","cor","(Intercept)","FAM",-0.311337693482636
"fam_cn_feminine","selected","L0","participant","cor","sem_dissim_z","FAM",0.13863683912425
"fam_cn_feminine","selected","L0","participant","cor","vis_dissim_z","FAM",-0.233991411254703
"fam_cn_feminine","selected","L0","participant","cor","(Intercept)","SXF",-0.38546927634767
"fam_cn_feminine","selected","L0","participant","cor","sem_dissim_z","SXF",-0.0172243756619419
"fam_cn_feminine","selected","L0","participant","cor","vis_dissim_z","SXF",-0.456774215480534
"fam_cn_feminine","selected","L0","participant","cor","FAM","SXF",-0.0690371471737934
"fam_cn_feminine","selected","L0","participant","cor","(Intercept)","VXF",0.188530170679679
"fam_cn_feminine","selected","L0","participant","cor","sem_dissim_z","VXF",-0.0816485395644173
"fam_cn_feminine","selected","L0","participant","cor","vis_dissim_z","VXF",0.260519637069054
"fam_cn_feminine","selected","L0","participant","cor","FAM","VXF",0.62384271965859
"fam_cn_feminine","selected","L0","participant","cor","SXF","VXF",-0.677577173751396
"fam_cn_feminine","selected","L0","target1","sd","(Intercept)",NA,0.858882996863667
"fam_cn_feminine","selected","L0","target1","sd","sem_dissim_z",NA,0.517733468006401
"fam_cn_feminine","selected","L0","target1","sd","vis_dissim_z",NA,0.497795956759456
"fam_cn_feminine","selected","L0","target1","sd","FAM",NA,0.162422414407766
"fam_cn_feminine","selected","L0","target1","sd","SXF",NA,0.202513924574084
"fam_cn_feminine","selected","L0","target1","sd","VXF",NA,0.088157457735382
"fam_cn_feminine","selected","L0","target1","cor","(Intercept)","sem_dissim_z",-0.0707601367531724
"fam_cn_feminine","selected","L0","target1","cor","(Intercept)","vis_dissim_z",0.0138439619567636
"fam_cn_feminine","selected","L0","target1","cor","sem_dissim_z","vis_dissim_z",-0.435815706080659
"fam_cn_feminine","selected","L0","target1","cor","(Intercept)","FAM",0.734124803740562
"fam_cn_feminine","selected","L0","target1","cor","sem_dissim_z","FAM",0.119281905890156
"fam_cn_feminine","selected","L0","target1","cor","vis_dissim_z","FAM",-0.10091525028399
"fam_cn_feminine","selected","L0","target1","cor","(Intercept)","SXF",0.349117475286507
"fam_cn_feminine","selected","L0","target1","cor","sem_dissim_z","SXF",0.383252098071777
"fam_cn_feminine","selected","L0","target1","cor","vis_dissim_z","SXF",-0.165785149825988
"fam_cn_feminine","selected","L0","target1","cor","FAM","SXF",0.190336855752427
"fam_cn_feminine","selected","L0","target1","cor","(Intercept)","VXF",-0.0198690612558435
"fam_cn_feminine","selected","L0","target1","cor","sem_dissim_z","VXF",-0.404517926385739
"fam_cn_feminine","selected","L0","target1","cor","vis_dissim_z","VXF",0.39099135971843
"fam_cn_feminine","selected","L0","target1","cor","FAM","VXF",-0.0562032906482636
"fam_cn_feminine","selected","L0","target1","cor","SXF","VXF",-0.556552433546953
"fam_cn_feminine","selected","L0","target2","sd","(Intercept)",NA,0.574506469663502
"fam_cn_feminine","selected","L0","target2","sd","sem_dissim_z",NA,0.806818271780747
"fam_cn_feminine","selected","L0","target2","sd","vis_dissim_z",NA,0.761909769759897
"fam_cn_feminine","selected","L0","target2","sd","FAM",NA,0.142833052523856
"fam_cn_feminine","selected","L0","target2","sd","SXF",NA,0.1518252090738
"fam_cn_feminine","selected","L0","target2","sd","VXF",NA,0.159678423180647
"fam_cn_feminine","selected","L0","target2","cor","(Intercept)","sem_dissim_z",-0.758611037074285
"fam_cn_feminine","selected","L0","target2","cor","(Intercept)","vis_dissim_z",0.32118570817064
"fam_cn_feminine","selected","L0","target2","cor","sem_dissim_z","vis_dissim_z",-0.0904871426582033
"fam_cn_feminine","selected","L0","target2","cor","(Intercept)","FAM",0.403104474889549
"fam_cn_feminine","selected","L0","target2","cor","sem_dissim_z","FAM",-0.202842810374984
"fam_cn_feminine","selected","L0","target2","cor","vis_dissim_z","FAM",0.053214823155233
"fam_cn_feminine","selected","L0","target2","cor","(Intercept)","SXF",-0.469241985184776
"fam_cn_feminine","selected","L0","target2","cor","sem_dissim_z","SXF",0.627248813369905
"fam_cn_feminine","selected","L0","target2","cor","vis_dissim_z","SXF",-0.0311062472533902
"fam_cn_feminine","selected","L0","target2","cor","FAM","SXF",-0.160149041841967
"fam_cn_feminine","selected","L0","target2","cor","(Intercept)","VXF",-0.0327608088114671
"fam_cn_feminine","selected","L0","target2","cor","sem_dissim_z","VXF",-0.0114512298036986
"fam_cn_feminine","selected","L0","target2","cor","vis_dissim_z","VXF",0.389090885662756
"fam_cn_feminine","selected","L0","target2","cor","FAM","VXF",-0.0245941240752667
"fam_cn_feminine","selected","L0","target2","cor","SXF","VXF",-0.219288283045392
"fam_cn_feminine","selected","L0","Residual","sd","(Observation)",NA,1.58217432178801
"fam_cn_feminine","nointer","L0","participant","sd","(Intercept)",NA,0.2386238208625
"fam_cn_feminine","nointer","L0","participant","sd","sem_dissim_z",NA,0.11646265580453
"fam_cn_feminine","nointer","L0","participant","sd","vis_dissim_z",NA,0.216839203131486
"fam_cn_feminine","nointer","L0","participant","sd","FAM",NA,0.0759860210145101
"fam_cn_feminine","nointer","L0","participant","sd","SXF",NA,0.075485643368335
"fam_cn_feminine","nointer","L0","participant","sd","VXF",NA,0.0940946013551168
"fam_cn_feminine","nointer","L0","participant","cor","(Intercept)","sem_dissim_z",0.162721010778842
"fam_cn_feminine","nointer","L0","participant","cor","(Intercept)","vis_dissim_z",0.768226105227484
"fam_cn_feminine","nointer","L0","participant","cor","sem_dissim_z","vis_dissim_z",-0.234425330753076
"fam_cn_feminine","nointer","L0","participant","cor","(Intercept)","FAM",-0.311303684577461
"fam_cn_feminine","nointer","L0","participant","cor","sem_dissim_z","FAM",0.138275144022722
"fam_cn_feminine","nointer","L0","participant","cor","vis_dissim_z","FAM",-0.234458550618154
