"label","fit","level","group","type","term1","term2","value"
"fam_cn_practical","selected","L1","participant","sd","(Intercept)",NA,0.409515810287274
"fam_cn_practical","selected","L1","participant","sd","sem_dissim_z",NA,0.133485036592777
"fam_cn_practical","selected","L1","participant","sd","vis_dissim_z",NA,0.124545112237158
"fam_cn_practical","selected","L1","participant","sd","FAM",NA,0.200636492140108
"fam_cn_practical","selected","L1","participant","sd","SXF",NA,0.0842976568945072
"fam_cn_practical","selected","L1","participant","sd","VXF",NA,0.0698092087026027
"fam_cn_practical","selected","L1","participant","cor","(Intercept)","sem_dissim_z",0.119006961799975
"fam_cn_practical","selected","L1","participant","cor","(Intercept)","vis_dissim_z",0.458066500839614
"fam_cn_practical","selected","L1","participant","cor","sem_dissim_z","vis_dissim_z",0.0815709839556578
"fam_cn_practical","selected","L1","participant","cor","(Intercept)","FAM",-0.186093702199399
"fam_cn_practical","selected","L1","participant","cor","sem_dissim_z","FAM",0.236745796378141
"fam_cn_practical","selected","L1","participant","cor","vis_dissim_z","FAM",0.0672729539429411
"fam_cn_practical","selected","L1","participant","cor","(Intercept)","SXF",-0.158913986350896
"fam_cn_practical","selected","L1","participant","cor","sem_dissim_z","SXF",-0.0307670311875435
"fam_cn_practical","selected","L1","participant","cor","vis_dissim_z","SXF",-0.143629741246073
"fam_cn_practical","selected","L1","participant","cor","FAM","SXF",0.150309289651295
"fam_cn_practical","selected","L1","participant","cor","(Intercept)","VXF",0.108124579148692
"fam_cn_practical","selected","L1","participant","cor","sem_dissim_z","VXF",0.0229180085714622
"fam_cn_practical","selected","L1","participant","cor","vis_dissim_z","VXF",0.0796890751721211
"fam_cn_practical","selected","L1","participant","cor","FAM","VXF",0.152721682858486
"fam_cn_practical","selected","L1","participant","cor","SXF","VXF",-0.364426911574619
"fam_cn_practical","selected","L1","target1","sd","(Intercept)",NA,0.115737438446282
"fam_cn_practical","selected","L1","target1","sd","sem_dissim_z",NA,0.124410386613639
"fam_cn_practical","selected","L1","target1","sd","vis_dissim_z",NA,0.0410678974267152
"fam_cn_practical","selected","L1","target1","sd","FAM",NA,0.0828216752517784
"fam_cn_practical","selected","L1","target1","cor","(Intercept)","sem_dissim_z",0.316020714598958
