"label","fit","level","group","type","term1","term2","value"
"fam_cn_strong","selected","L0","participant","sd","(Intercept)",NA,0.379057387145752
"fam_cn_strong","selected","L0","participant","sd","sem_dissim_z",NA,0.120851740442398
"fam_cn_strong","selected","L0","participant","sd","vis_dissim_z",NA,0.182092734566801
"fam_cn_strong","selected","L0","participant","sd","FAM",NA,0.162878397002422
"fam_cn_strong","selected","L0","participant","sd","SXF",NA,0.0836751311304681
"fam_cn_strong","selected","L0","participant","sd","VXF",NA,0.0839043305353287
"fam_cn_strong","selected","L0","participant","cor","(Intercept)","sem_dissim_z",-0.0542033656924835
"fam_cn_strong","selected","L0","participant","cor","(Intercept)","vis_dissim_z",0.587813692665572
"fam_cn_strong","selected","L0","participant","cor","sem_dissim_z","vis_dissim_z",-0.339889231687852
"fam_cn_strong","selected","L0","participant","cor","(Intercept)","FAM",-0.0287716559597939
"fam_cn_strong","selected","L0","participant","cor","sem_dissim_z","FAM",0.0535583858210744
"fam_cn_strong","selected","L0","participant","cor","vis_dissim_z","FAM",0.102190650052309
"fam_cn_strong","selected","L0","participant","cor","(Intercept)","SXF",-0.178630788237066
"fam_cn_strong","selected","L0","participant","cor","sem_dissim_z","SXF",-0.0022681226010096
"fam_cn_strong","selected","L0","participant","cor","vis_dissim_z","SXF",-0.293936659137657
"fam_cn_strong","selected","L0","participant","cor","FAM","SXF",0.156403526042374
"fam_cn_strong","selected","L0","participant","cor","(Intercept)","VXF",0.0740650624798803
"fam_cn_strong","selected","L0","participant","cor","sem_dissim_z","VXF",-0.130991782768715
"fam_cn_strong","selected","L0","participant","cor","vis_dissim_z","VXF",0.286991876351986
"fam_cn_strong","selected","L0","participant","cor","FAM","VXF",0.41308492932956
"fam_cn_strong","selected","L0","participant","cor","SXF","VXF",-0.468864119554363
"fam_cn_strong","selected","L0","target1","sd","(Intercept)",NA,0.236456616757185
"fam_cn_strong","selected","L0","target1","sd","sem_dissim_z",NA,0.189565395114046
"fam_cn_strong","selected","L0","target1","sd","vis_dissim_z",NA,0.181134337804966
"fam_cn_strong","selected","L0","target1","sd","FAM",NA,0.0809996622511713
"fam_cn_strong","selected","L0","target1","sd","SXF",NA,0.0379500745940901
"fam_cn_strong","selected","L0","target1","sd","VXF",NA,0.0376383144935727
"fam_cn_strong","selected","L0","target1","cor","(Intercept)","sem_dissim_z",0.0270564554793849
"fam_cn_strong","selected","L0","target1","cor","(Intercept)","vis_dissim_z",0.364747121072199
