"label","fit","level","group","type","term1","term2","value"
"fam_cn_traitspace","selected","L0","participant","sd","(Intercept)",NA,0.92568843362993
"fam_cn_traitspace","selected","L0","participant","sd","sem_dissim_z",NA,0.20331389710881
"fam_cn_traitspace","selected","L0","participant","sd","vis_dissim_z",NA,0.203006078872557
"fam_cn_traitspace","selected","L0","participant","sd","FAM",NA,0.297872481162576
"fam_cn_traitspace","selected","L0","participant","sd","SXF",NA,0.157648545126399
"fam_cn_traitspace","selected","L0","participant","sd","VXF",NA,0.0916876171130597
"fam_cn_traitspace","selected","L0","participant","cor","(Intercept)","sem_dissim_z",0.155387929757395
"fam_cn_traitspace","selected","L0","participant","cor","(Intercept)","vis_dissim_z",0.109805809169707
"fam_cn_traitspace","selected","L0","participant","cor","sem_dissim_z","vis_dissim_z",0.0568716574741394
"fam_cn_traitspace","selected","L0","participant","cor","(Intercept)","FAM",-0.145091219407263
"fam_cn_traitspace","selected","L0","participant","cor","sem_dissim_z","FAM",0.149224081717376
"fam_cn_traitspace","selected","L0","participant","cor","vis_dissim_z","FAM",0.102276822458194
"fam_cn_traitspace","selected","L0","participant","cor","(Intercept)","SXF",0.106458635468704
"fam_cn_traitspace","selected","L0","participant","cor","sem_dissim_z","SXF",-0.1659572359904
"fam_cn_traitspace","selected","L0","participant","cor","vis_dissim_z","SXF",-0.124667451075376
"fam_cn_traitspace","selected","L0","participant","cor","FAM","SXF",0.073244576719123
"fam_cn_traitspace","selected","L0","participant","cor","(Intercept)","VXF",0.056374873177814
"fam_cn_traitspace","selected","L0","participant","cor","sem_dissim_z","VXF",-0.026801175654078
"fam_cn_traitspace","selected","L0","participant","cor","vis_dissim_z","VXF",0.106727893128234
"fam_cn_traitspace","selected","L0","participant","cor","FAM","VXF",0.0368739620513794
"fam_cn_traitspace","selected","L0","participant","cor","SXF","VXF",-0.454475608905393
"fam_cn_traitspace","selected","L0","target1","sd","(Intercept)",NA,0.474676365652304
"fam_cn_traitspace","selected","L0","target1","sd","sem_dissim_z",NA,0.297125014407279
"fam_cn_traitspace","selected","L0","target1","sd","vis_dissim_z",NA,0.243040979190843
"fam_cn_traitspace","selected","L0","target1","sd","FAM",NA,0.142097704767252
"fam_cn_traitspace","selected","L0","target1","sd","SXF",NA,0.0816665052698667
"fam_cn_traitspace","selected","L0","target1","sd","VXF",NA,0.05902849610825
"fam_cn_traitspace","selected","L0","target1","cor","(Intercept)","sem_dissim_z",0.192771616776238
"fam_cn_traitspace","selected","L0","target1","cor","(Intercept)","vis_dissim_z",-0.0433409117681693
"fam_cn_traitspace","selected","L0","target1","cor","sem_dissim_z","vis_dissim_z",-0.518979878085134
"fam_cn_traitspace","selected","L0","target1","cor","(Intercept)","FAM",0.449050399136761
"fam_cn_traitspace","selected","L0","target1","cor","sem_dissim_z","FAM",0.137508345377579
"fam_cn_traitspace","selected","L0","target1","cor","vis_dissim_z","FAM",-0.0713095719772335
"fam_cn_traitspace","selected","L0","target1","cor","(Intercept)","SXF",0.200566542984536
"fam_cn_traitspace","selected","L0","target1","cor","sem_dissim_z","SXF",0.459290885334692
"fam_cn_traitspace","selected","L0","target1","cor","vis_dissim_z","SXF",-0.334938847306135
"fam_cn_traitspace","selected","L0","target1","cor","FAM","SXF",0.0732520509989488
"fam_cn_traitspace","selected","L0","target1","cor","(Intercept)","VXF",0.158882539797652
"fam_cn_traitspace","selected","L0","target1","cor","sem_dissim_z","VXF",-0.522516135116581
"fam_cn_traitspace","selected","L0","target1","cor","vis_dissim_z","VXF",0.703970027056505
"fam_cn_traitspace","selected","L0","target1","cor","FAM","VXF",0.219043757296748
"fam_cn_traitspace","selected","L0","target1","cor","SXF","VXF",-0.544263761486818
"fam_cn_traitspace","selected","L0","target2","sd","(Intercept)",NA,0.346899311216819
"fam_cn_traitspace","selected","L0","target2","sd","sem_dissim_z",NA,0.413914350602912
