"label","fit","level","group","type","term1","term2","value"
"fam_cn_trustworthy","selected","L0","participant","sd","(Intercept)",NA,0.411921632656983
"fam_cn_trustworthy","selected","L0","participant","sd","sem_dissim_z",NA,0.120797121435205
"fam_cn_trustworthy","selected","L0","participant","sd","vis_dissim_z",NA,0.0899618212722403
"fam_cn_trustworthy","selected","L0","participant","sd","FAM",NA,0.212654408515624
"fam_cn_trustworthy","selected","L0","participant","sd","SXF",NA,0.099179038488583
"fam_cn_trustworthy","selected","L0","participant","sd","VXF",NA,0.0567441342441169
"fam_cn_trustworthy","selected","L0","participant","cor","(Intercept)","sem_dissim_z",0.15923712818479
"fam_cn_trustworthy","selected","L0","participant","cor","(Intercept)","vis_dissim_z",0.286836205150429
"fam_cn_trustworthy","selected","L0","participant","cor","sem_dissim_z","vis_dissim_z",-0.0728603290547629
"fam_cn_trustworthy","selected","L0","participant","cor","(Intercept)","FAM",-0.126643105096326
"fam_cn_trustworthy","selected","L0","participant","cor","sem_dissim_z","FAM",0.218168552675464
"fam_cn_trustworthy","selected","L0","participant","cor","vis_dissim_z","FAM",0.074361103676724
"fam_cn_trustworthy","selected","L0","participant","cor","(Intercept)","SXF",0.00117079310795341
"fam_cn_trustworthy","selected","L0","participant","cor","sem_dissim_z","SXF",-0.0103339656718245
"fam_cn_trustworthy","selected","L0","participant","cor","vis_dissim_z","SXF",-0.191845872103161
"fam_cn_trustworthy","selected","L0","participant","cor","FAM","SXF",0.171140364631222
"fam_cn_trustworthy","selected","L0","participant","cor","(Intercept)","VXF",0.0500031114888072
"fam_cn_trustworthy","selected","L0","participant","cor","sem_dissim_z","VXF",-0.056650485053718
"fam_cn_trustworthy","selected","L0","participant","cor","vis_dissim_z","VXF",0.208136631533621
"fam_cn_trustworthy","selected","L0","participant","cor","FAM","VXF",0.154444310569622
"fam_cn_trustworthy","selected","L0","participant","cor","SXF","VXF",-0.426437971217408
"fam_cn_trustworthy","selected","L0","target1","sd","(Intercept)",NA,0.0800316546727996
"fam_cn_trustworthy","selected","L0","target1","sd","sem_dissim_z",NA,0.0734155839193948
"fam_cn_trustworthy","selected","L0","target1","sd","vis_dissim_z",NA,0.0229254153065029
"fam_cn_trustworthy","selected","L0","target1","sd","FAM",NA,0.0687751094904223
"fam_cn_trustworthy","selected","L0","target1","sd","SXF",NA,0.0130147417233662
"fam_cn_trustworthy","selected","L0","target1","sd","VXF",NA,0.0174302632283459
"fam_cn_trustworthy","selected","L0","target1","cor","(Intercept)","sem_dissim_z",-0.027656423025543
"fam_cn_trustworthy","selected","L0","target1","cor","(Intercept)","vis_dissim_z",0.0158400494572619
"fam_cn_trustworthy","selected","L0","target1","cor","sem_dissim_z","vis_dissim_z",0.284501814868151
"fam_cn_trustworthy","selected","L0","target1","cor","(Intercept)","FAM",0.270097566560057
"fam_cn_trustworthy","selected","L0","target1","cor","sem_dissim_z","FAM",0.433492273655391
"fam_cn_trustworthy","selected","L0","target1","cor","vis_dissim_z","FAM",-0.0461715559259126
"fam_cn_trustworthy","selected","L0","target1","cor","(Intercept)","SXF",0.199291297550751
"fam_cn_trustworthy","selected","L0","target1","cor","sem_dissim_z","SXF",0.8141009065778
"fam_cn_trustworthy","selected","L0","target1","cor","vis_dissim_z","SXF",0.0701763624027972
"fam_cn_trustworthy","selected","L0","target1","cor","FAM","SXF",0.853810957339673
"fam_cn_trustworthy","selected","L0","target1","cor","(Intercept)","VXF",-0.423227828113398
"fam_cn_trustworthy","selected","L0","target1","cor","sem_dissim_z","VXF",0.546437084153165
"fam_cn_trustworthy","selected","L0","target1","cor","vis_dissim_z","VXF",0.368331696084973
"fam_cn_trustworthy","selected","L0","target1","cor","FAM","VXF",0.0465593675024613
"fam_cn_trustworthy","selected","L0","target1","cor","SXF","VXF",0.194731241271356
"fam_cn_trustworthy","selected","L0","target2","sd","(Intercept)",NA,0.0861612443260842
"fam_cn_trustworthy","selected","L0","target2","sd","sem_dissim_z",NA,0.0542818273237805
"fam_cn_trustworthy","selected","L0","target2","sd","vis_dissim_z",NA,0.034233712192552
"fam_cn_trustworthy","selected","L0","target2","sd","FAM",NA,0.0850147652893627
"fam_cn_trustworthy","selected","L0","target2","sd","SXF",NA,0.0196645709697793
"fam_cn_trustworthy","selected","L0","target2","sd","VXF",NA,0.0152560213580978
"fam_cn_trustworthy","selected","L0","target2","cor","(Intercept)","sem_dissim_z",-0.0619119860068745
"fam_cn_trustworthy","selected","L0","target2","cor","(Intercept)","vis_dissim_z",0.178493596636326
"fam_cn_trustworthy","selected","L0","target2","cor","sem_dissim_z","vis_dissim_z",-0.583217868549918
"fam_cn_trustworthy","selected","L0","target2","cor","(Intercept)","FAM",0.494951783921512
"fam_cn_trustworthy","selected","L0","target2","cor","sem_dissim_z","FAM",0.575764111735425
"fam_cn_trustworthy","selected","L0","target2","cor","vis_dissim_z","FAM",-0.487277109532884
"fam_cn_trustworthy","selected","L0","target2","cor","(Intercept)","SXF",0.363045973880502
"fam_cn_trustworthy","selected","L0","target2","cor","sem_dissim_z","SXF",0.669972388877219
"fam_cn_trustworthy","selected","L0","target2","cor","vis_dissim_z","SXF",-0.201458643034361
"fam_cn_trustworthy","selected","L0","target2","cor","FAM","SXF",0.596612516928389
"fam_cn_trustworthy","selected","L0","target2","cor","(Intercept)","VXF",-0.13683858397481
"fam_cn_trustworthy","selected","L0","target2","cor","sem_dissim_z","VXF",-0.0794195290866375
"fam_cn_trustworthy","selected","L0","target2","cor","vis_dissim_z","VXF",0.338540003022698
"fam_cn_trustworthy","selected","L0","target2","cor","FAM","VXF",0.0461482330560048
"fam_cn_trustworthy","selected","L0","target2","cor","SXF","VXF",-0.114071517466412
"fam_cn_trustworthy","selected","L0","Residual","sd","(Observation)",NA,1.20000368026857
"fam_cn_trustworthy","nointer","L0","participant","sd","(Intercept)",NA,0.412036240514552
"fam_cn_trustworthy","nointer","L0","participant","sd","sem_dissim_z",NA,0.120989829760194
"fam_cn_trustworthy","nointer","L0","participant","sd","vis_dissim_z",NA,0.0899904455448377
"fam_cn_trustworthy","nointer","L0","participant","sd","FAM",NA,0.212875013153811
"fam_cn_trustworthy","nointer","L0","participant","sd","SXF",NA,0.0998755296916055
"fam_cn_trustworthy","nointer","L0","participant","sd","VXF",NA,0.0568005376118037
"fam_cn_trustworthy","nointer","L0","participant","cor","(Intercept)","sem_dissim_z",0.156727664963649
"fam_cn_trustworthy","nointer","L0","participant","cor","(Intercept)","vis_dissim_z",0.287063622167798
"fam_cn_trustworthy","nointer","L0","participant","cor","sem_dissim_z","vis_dissim_z",-0.0741721828980804
"fam_cn_trustworthy","nointer","L0","participant","cor","(Intercept)","FAM",-0.127198151193032
"fam_cn_trustworthy","nointer","L0","participant","cor","sem_dissim_z","FAM",0.221320517697157
"fam_cn_trustworthy","nointer","L0","participant","cor","vis_dissim_z","FAM",0.0728319085340733
"fam_cn_trustworthy","nointer","L0","participant","cor","(Intercept)","SXF",0.00468494858789564
"fam_cn_trustworthy","nointer","L0","participant","cor","sem_dissim_z","SXF",-0.0102520171380376
"fam_cn_trustworthy","nointer","L0","participant","cor","vis_dissim_z","SXF",-0.193413828174282
"fam_cn_trustworthy","nointer","L0","participant","cor","FAM","SXF",0.170221510573696
"fam_cn_trustworthy","nointer","L0","participant","cor","(Intercept)","VXF",0.0488310249043983
"fam_cn_trustworthy","nointer","L0","participant","cor","sem_dissim_z","VXF",-0.0578171400513455
"fam_cn_trustworthy","nointer","L0","participant","cor","vis_dissim_z","VXF",0.209151910658809
"fam_cn_trustworthy","nointer","L0","participant","cor","FAM","VXF",0.154124576708744
"fam_cn_trustworthy","nointer","L0","participant","cor","SXF","VXF",-0.428450244108407
"fam_cn_trustworthy","nointer","L0","target1","sd","(Intercept)",NA,0.0799535483324399
"fam_cn_trustworthy","nointer","L0","target1","sd","sem_dissim_z",NA,0.0733081752439144
"fam_cn_trustworthy","nointer","L0","target1","sd","vis_dissim_z",NA,0.0229263834321179
"fam_cn_trustworthy","nointer","L0","target1","sd","FAM",NA,0.0680542266143449
"fam_cn_trustworthy","nointer","L0","target1","sd","SXF",NA,0.0139236097558781
"fam_cn_trustworthy","nointer","L0","target1","sd","VXF",NA,0.0175639748218751
"fam_cn_trustworthy","nointer","L0","target1","cor","(Intercept)","sem_dissim_z",-0.0220963111224012
"fam_cn_trustworthy","nointer","L0","target1","cor","(Intercept)","vis_dissim_z",0.0154883061285392
"fam_cn_trustworthy","nointer","L0","target1","cor","sem_dissim_z","vis_dissim_z",0.286938756098457
"fam_cn_trustworthy","nointer","L0","target1","cor","(Intercept)","FAM",0.267401679546686
"fam_cn_trustworthy","nointer","L0","target1","cor","sem_dissim_z","FAM",0.439517986309985
"fam_cn_trustworthy","nointer","L0","target1","cor","vis_dissim_z","FAM",-0.0395037349214058
"fam_cn_trustworthy","nointer","L0","target1","cor","(Intercept)","SXF",0.130790910195411
"fam_cn_trustworthy","nointer","L0","target1","cor","sem_dissim_z","SXF",0.817622471191888
"fam_cn_trustworthy","nointer","L0","target1","cor","vis_dissim_z","SXF",0.0301353287241711
"fam_cn_trustworthy","nointer","L0","target1","cor","FAM","SXF",0.841973130093146
"fam_cn_trustworthy","nointer","L0","target1","cor","(Intercept)","VXF",-0.405650673327827
"fam_cn_trustworthy","nointer","L0","target1","cor","sem_dissim_z","VXF",0.555745285014518
"fam_cn_trustworthy","nointer","L0","target1","cor","vis_dissim_z","VXF",0.379224807019274
"fam_cn_trustworthy","nointer","L0","target1","cor","FAM","VXF",0.0479526021864294
"fam_cn_trustworthy","nointer","L0","target1","cor","SXF","VXF",0.19879784494731
