"label","fit","level","group","type","term1","term2","value"
"fam_cn_warm","selected","L1","participant","sd","(Intercept)",NA,0.405201163818189
"fam_cn_warm","selected","L1","participant","sd","sem_dissim_z",NA,0.117704278578914
"fam_cn_warm","selected","L1","participant","sd","vis_dissim_z",NA,0.0663004776761646
"fam_cn_warm","selected","L1","participant","sd","FAM",NA,0.193736498495806
"fam_cn_warm","selected","L1","participant","sd","SXF",NA,0.0923392249741935
"fam_cn_warm","selected","L1","participant","sd","VXF",NA,0.0507833917776789
"fam_cn_warm","selected","L1","participant","cor","(Intercept)","sem_dissim_z",0.113050768360283
"fam_cn_warm","selected","L1","participant","cor","(Intercept)","vis_dissim_z",0.0600477850402935
"fam_cn_warm","selected","L1","participant","cor","sem_dissim_z","vis_dissim_z",-0.335769634743309
"fam_cn_warm","selected","L1","participant","cor","(Intercept)","FAM",-0.126969679457321
"fam_cn_warm","selected","L1","participant","cor","sem_dissim_z","FAM",0.0390648863143271
"fam_cn_warm","selected","L1","participant","cor","vis_dissim_z","FAM",0.042347166649085
"fam_cn_warm","selected","L1","participant","cor","(Intercept)","SXF",0.013569431031893
"fam_cn_warm","selected","L1","participant","cor","sem_dissim_z","SXF",0.13714159276825
"fam_cn_warm","selected","L1","participant","cor","vis_dissim_z","SXF",-0.23218597294325
"fam_cn_warm","selected","L1","participant","cor","FAM","SXF",0.269300937730053
"fam_cn_warm","selected","L1","participant","cor","(Intercept)","VXF",-0.0479334625817773
"fam_cn_warm","selected","L1","participant","cor","sem_dissim_z","VXF",-0.298912832602799
"fam_cn_warm","selected","L1","participant","cor","vis_dissim_z","VXF",0.111457491320412
"fam_cn_warm","selected","L1","participant","cor","FAM","VXF",0.1441993240836
"fam_cn_warm","selected","L1","participant","cor","SXF","VXF",-0.456573228144638
"fam_cn_warm","selected","L1","target1","sd","(Intercept)",NA,0.0876302439964806
"fam_cn_warm","selected","L1","target1","sd","sem_dissim_z",NA,0.0366949945588447
"fam_cn_warm","selected","L1","target1","sd","vis_dissim_z",NA,0.0380009337133746
"fam_cn_warm","selected","L1","target1","sd","FAM",NA,0.0560908007645588
"fam_cn_warm","selected","L1","target1","cor","(Intercept)","sem_dissim_z",-0.309915409585452
"fam_cn_warm","selected","L1","target1","cor","(Intercept)","vis_dissim_z",-0.0402507881577752
"fam_cn_warm","selected","L1","target1","cor","sem_dissim_z","vis_dissim_z",-0.519768530732739
"fam_cn_warm","selected","L1","target1","cor","(Intercept)","FAM",-0.146728246414704
"fam_cn_warm","selected","L1","target1","cor","sem_dissim_z","FAM",0.061567164343988
"fam_cn_warm","selected","L1","target1","cor","vis_dissim_z","FAM",0.165581524122882
"fam_cn_warm","selected","L1","target2","sd","(Intercept)",NA,0.0946609781935589
"fam_cn_warm","selected","L1","target2","sd","sem_dissim_z",NA,0.0455307939777045
"fam_cn_warm","selected","L1","target2","sd","vis_dissim_z",NA,0.0235806559901986
"fam_cn_warm","selected","L1","target2","sd","FAM",NA,0.0651337602168021
"fam_cn_warm","selected","L1","target2","cor","(Intercept)","sem_dissim_z",-0.44206880006354
"fam_cn_warm","selected","L1","target2","cor","(Intercept)","vis_dissim_z",0.172241653555678
"fam_cn_warm","selected","L1","target2","cor","sem_dissim_z","vis_dissim_z",-0.196380753766836
"fam_cn_warm","selected","L1","target2","cor","(Intercept)","FAM",0.147984739557165
"fam_cn_warm","selected","L1","target2","cor","sem_dissim_z","FAM",-0.0543639247813317
"fam_cn_warm","selected","L1","target2","cor","vis_dissim_z","FAM",-0.532874363182715
"fam_cn_warm","selected","L1","Residual","sd","(Observation)",NA,1.2676669271512
"fam_cn_warm","nointer","L1","participant","sd","(Intercept)",NA,0.405175750590482
"fam_cn_warm","nointer","L1","participant","sd","sem_dissim_z",NA,0.117656850513728
"fam_cn_warm","nointer","L1","participant","sd","vis_dissim_z",NA,0.0663896580721706
"fam_cn_warm","nointer","L1","participant","sd","FAM",NA,0.19367154500467
"fam_cn_warm","nointer","L1","participant","sd","SXF",NA,0.0926205989553174
"fam_cn_warm","nointer","L1","participant","sd","VXF",NA,0.0510917593047139
"fam_cn_warm","nointer","L1","participant","cor","(Intercept)","sem_dissim_z",0.114479712424992
"fam_cn_warm","nointer","L1","participant","cor","(Intercept)","vis_dissim_z",0.0568478395713855
"fam_cn_warm","nointer","L1","participant","cor","sem_dissim_z","vis_dissim_z",-0.334926183871621
"fam_cn_warm","nointer","L1","participant","cor","(Intercept)","FAM",-0.126527943138522
"fam_cn_warm","nointer","L1","participant","cor","sem_dissim_z","FAM",0.0372579277928447
"fam_cn_warm","nointer","L1","participant","cor","vis_dissim_z","FAM",0.0465874351731016
"fam_cn_warm","nointer","L1","participant","cor","(Intercept)","SXF",0.010377930197111
"fam_cn_warm","nointer","L1","participant","cor","sem_dissim_z","SXF",0.138434743868179
"fam_cn_warm","nointer","L1","participant","cor","vis_dissim_z","SXF",-0.232477097917325
"fam_cn_warm","nointer","L1","participant","cor","FAM","SXF",0.270482014806006
"fam_cn_warm","nointer","L1","participant","cor","(Intercept)","VXF",-0.0410457876006484
"fam_cn_warm","nointer","L1","participant","cor","sem_dissim_z","VXF",-0.300583889058991
"fam_cn_warm","nointer","L1","participant","cor","vis_dissim_z","VXF",0.113384914114048
"fam_cn_warm","nointer","L1","participant","cor","FAM","VXF",0.139117656044171
"fam_cn_warm","nointer","L1","participant","cor","SXF","VXF",-0.46116005946323
"fam_cn_warm","nointer","L1","target1","sd","(Intercept)",NA,0.0876623247430365
"fam_cn_warm","nointer","L1","target1","sd","sem_dissim_z",NA,0.0366989734395634
"fam_cn_warm","nointer","L1","target1","sd","vis_dissim_z",NA,0.0381223716861418
"fam_cn_warm","nointer","L1","target1","sd","FAM",NA,0.055966215712276
"fam_cn_warm","nointer","L1","target1","cor","(Intercept)","sem_dissim_z",-0.318231652102305
"fam_cn_warm","nointer","L1","target1","cor","(Intercept)","vis_dissim_z",-0.0300395930915472
"fam_cn_warm","nointer","L1","target1","cor","sem_dissim_z","vis_dissim_z",-0.520887038088473
"fam_cn_warm","nointer","L1","target1","cor","(Intercept)","FAM",-0.141523005255392
"fam_cn_warm","nointer","L1","target1","cor","sem_dissim_z","FAM",0.0581900916248695
"fam_cn_warm","nointer","L1","target1","cor","vis_dissim_z","FAM",0.166352081506847
"fam_cn_warm","nointer","L1","target2","sd","(Intercept)",NA,0.0947263129718172
"fam_cn_warm","nointer","L1","target2","sd","sem_dissim_z",NA,0.0456174314492692
"fam_cn_warm","nointer","L1","target2","sd","vis_dissim_z",NA,0.0238491529257788
"fam_cn_warm","nointer","L1","target2","sd","FAM",NA,0.0651519400542761
"fam_cn_warm","nointer","L1","target2","cor","(Intercept)","sem_dissim_z",-0.442499929200415
"fam_cn_warm","nointer","L1","target2","cor","(Intercept)","vis_dissim_z",0.174638188198584
"fam_cn_warm","nointer","L1","target2","cor","sem_dissim_z","vis_dissim_z",-0.201863942530958
"fam_cn_warm","nointer","L1","target2","cor","(Intercept)","FAM",0.147624254566727
"fam_cn_warm","nointer","L1","target2","cor","sem_dissim_z","FAM",-0.050189354713462
"fam_cn_warm","nointer","L1","target2","cor","vis_dissim_z","FAM",-0.528054341135203
"fam_cn_warm","nointer","L1","Residual","sd","(Observation)",NA,1.26766251691608
"fam_cn_warm","L0","L0","participant","sd","(Intercept)",NA,0.405215850246528
"fam_cn_warm","L0","L0","participant","sd","sem_dissim_z",NA,0.117743043218517
"fam_cn_warm","L0","L0","participant","sd","vis_dissim_z",NA,0.0662979962152274
"fam_cn_warm","L0","L0","participant","sd","FAM",NA,0.19375274897572
"fam_cn_warm","L0","L0","participant","sd","SXF",NA,0.0926646570277222
"fam_cn_warm","L0","L0","participant","sd","VXF",NA,0.0511140815673231
"fam_cn_warm","L0","L0","participant","cor","(Intercept)","sem_dissim_z",0.113919900630119
"fam_cn_warm","L0","L0","participant","cor","(Intercept)","vis_dissim_z",0.0594939234373247
"fam_cn_warm","L0","L0","participant","cor","sem_dissim_z","vis_dissim_z",-0.336959653583682
"fam_cn_warm","L0","L0","participant","cor","(Intercept)","FAM",-0.127023635306774
"fam_cn_warm","L0","L0","participant","cor","sem_dissim_z","FAM",0.0382432350476175
"fam_cn_warm","L0","L0","participant","cor","vis_dissim_z","FAM",0.0410074127562741
