"label","fit","level","group","type","term1","term2","value"
"fam_cn_young","selected","L0","participant","sd","(Intercept)",NA,0.317118266975314
"fam_cn_young","selected","L0","participant","sd","sem_dissim_z",NA,0.13566384641248
"fam_cn_young","selected","L0","participant","sd","vis_dissim_z",NA,0.103281339551879
"fam_cn_young","selected","L0","participant","sd","FAM",NA,0.115543060229564
"fam_cn_young","selected","L0","participant","sd","SXF",NA,0.0817686527493336
"fam_cn_young","selected","L0","participant","sd","VXF",NA,0.0436895028657979
"fam_cn_young","selected","L0","participant","cor","(Intercept)","sem_dissim_z",0.251617247186247
"fam_cn_young","selected","L0","participant","cor","(Intercept)","vis_dissim_z",0.699261843364902
"fam_cn_young","selected","L0","participant","cor","sem_dissim_z","vis_dissim_z",0.108998908421605
"fam_cn_young","selected","L0","participant","cor","(Intercept)","FAM",0.0711237165734538
"fam_cn_young","selected","L0","participant","cor","sem_dissim_z","FAM",-0.101900458569342
"fam_cn_young","selected","L0","participant","cor","vis_dissim_z","FAM",0.0438539061804112
"fam_cn_young","selected","L0","participant","cor","(Intercept)","SXF",0.0777256877848518
"fam_cn_young","selected","L0","participant","cor","sem_dissim_z","SXF",-0.136791728267073
"fam_cn_young","selected","L0","participant","cor","vis_dissim_z","SXF",-0.107072389235218
"fam_cn_young","selected","L0","participant","cor","FAM","SXF",0.190738915068647
"fam_cn_young","selected","L0","participant","cor","(Intercept)","VXF",-0.0136473787579741
"fam_cn_young","selected","L0","participant","cor","sem_dissim_z","VXF",-0.230186376226333
"fam_cn_young","selected","L0","participant","cor","vis_dissim_z","VXF",0.0812013794341165
"fam_cn_young","selected","L0","participant","cor","FAM","VXF",0.673872163342922
"fam_cn_young","selected","L0","participant","cor","SXF","VXF",-0.195168860033155
"fam_cn_young","selected","L0","target1","sd","(Intercept)",NA,0.449060720624562
"fam_cn_young","selected","L0","target1","sd","sem_dissim_z",NA,0.380416916638665
"fam_cn_young","selected","L0","target1","sd","vis_dissim_z",NA,0.283200552613622
"fam_cn_young","selected","L0","target1","sd","FAM",NA,0.076211308369288
"fam_cn_young","selected","L0","target1","sd","SXF",NA,0.0531295681650616
"fam_cn_young","selected","L0","target1","sd","VXF",NA,0.0445226091223721
"fam_cn_young","selected","L0","target1","cor","(Intercept)","sem_dissim_z",0.25622492232355
"fam_cn_young","selected","L0","target1","cor","(Intercept)","vis_dissim_z",0.623381217831128
"fam_cn_young","selected","L0","target1","cor","sem_dissim_z","vis_dissim_z",-0.122261138520013
"fam_cn_young","selected","L0","target1","cor","(Intercept)","FAM",-0.0301837553947192
"fam_cn_young","selected","L0","target1","cor","sem_dissim_z","FAM",0.142390968193643
"fam_cn_young","selected","L0","target1","cor","vis_dissim_z","FAM",-0.465954299041086
"fam_cn_young","selected","L0","target1","cor","(Intercept)","SXF",0.272862694471332
"fam_cn_young","selected","L0","target1","cor","sem_dissim_z","SXF",-0.185200462651925
"fam_cn_young","selected","L0","target1","cor","vis_dissim_z","SXF",0.38141802795584
"fam_cn_young","selected","L0","target1","cor","FAM","SXF",-0.0894512241359287
"fam_cn_young","selected","L0","target1","cor","(Intercept)","VXF",0.0647977768033006
"fam_cn_young","selected","L0","target1","cor","sem_dissim_z","VXF",-0.0810859003160599
"fam_cn_young","selected","L0","target1","cor","vis_dissim_z","VXF",0.207019930663212
