"label","fit","level","group","type","term1","term2","value"
"fam_us_competent","selected","L1","participant","sd","(Intercept)",NA,0.477957629894939
"fam_us_competent","selected","L1","participant","sd","sem_dissim_z",NA,0.0754503790832505
"fam_us_competent","selected","L1","participant","sd","vis_dissim_z",NA,0.0446390246421504
"fam_us_competent","selected","L1","participant","sd","FAM",NA,0.187569378062306
"fam_us_competent","selected","L1","participant","sd","SXF",NA,0.0542055861453086
"fam_us_competent","selected","L1","participant","sd","VXF",NA,0.0313117751349032
"fam_us_competent","selected","L1","participant","cor","(Intercept)","sem_dissim_z",0.132875831918241
"fam_us_competent","selected","L1","participant","cor","(Intercept)","vis_dissim_z",0.214311961460315
"fam_us_competent","selected","L1","participant","cor","sem_dissim_z","vis_dissim_z",-0.150694229456299
"fam_us_competent","selected","L1","participant","cor","(Intercept)","FAM",-0.143931034905732
"fam_us_competent","selected","L1","participant","cor","sem_dissim_z","FAM",-0.0526526333569918
"fam_us_competent","selected","L1","participant","cor","vis_dissim_z","FAM",0.0041076073575539
"fam_us_competent","selected","L1","participant","cor","(Intercept)","SXF",-0.0784856698838457
"fam_us_competent","selected","L1","participant","cor","sem_dissim_z","SXF",-0.045794394505108
"fam_us_competent","selected","L1","participant","cor","vis_dissim_z","SXF",-0.0395434116626022
"fam_us_competent","selected","L1","participant","cor","FAM","SXF",0.366653956600346
"fam_us_competent","selected","L1","participant","cor","(Intercept)","VXF",-0.0753288481907417
"fam_us_competent","selected","L1","participant","cor","sem_dissim_z","VXF",-0.0198024087993113
"fam_us_competent","selected","L1","participant","cor","vis_dissim_z","VXF",-0.150197515843875
"fam_us_competent","selected","L1","participant","cor","FAM","VXF",-0.0276171052656998
"fam_us_competent","selected","L1","participant","cor","SXF","VXF",-0.0909181126018198
"fam_us_competent","selected","L1","target1","sd","(Intercept)",NA,0.114317634973221
"fam_us_competent","selected","L1","target1","sd","sem_dissim_z",NA,0.030803566466042
"fam_us_competent","selected","L1","target1","sd","vis_dissim_z",NA,0.0268128501562481
"fam_us_competent","selected","L1","target1","sd","FAM",NA,0.0289522103611302
"fam_us_competent","selected","L1","target1","cor","(Intercept)","sem_dissim_z",-0.00813096022331885
