"label","fit","level","group","type","term1","term2","value"
"fam_us_feminine","selected","L0","participant","sd","(Intercept)",NA,0.278589551363517
"fam_us_feminine","selected","L0","participant","sd","sem_dissim_z",NA,0.182642918284053
"fam_us_feminine","selected","L0","participant","sd","vis_dissim_z",NA,0.145085688119474
"fam_us_feminine","selected","L0","participant","sd","FAM",NA,0.0842161078788869
"fam_us_feminine","selected","L0","participant","sd","SXF",NA,0.0532664430411
"fam_us_feminine","selected","L0","participant","sd","VXF",NA,0.0268664093292508
"fam_us_feminine","selected","L0","participant","cor","(Intercept)","sem_dissim_z",0.661315365425283
"fam_us_feminine","selected","L0","participant","cor","(Intercept)","vis_dissim_z",0.512995668733506
"fam_us_feminine","selected","L0","participant","cor","sem_dissim_z","vis_dissim_z",0.965979816157883
"fam_us_feminine","selected","L0","participant","cor","(Intercept)","FAM",0.0272384132570052
"fam_us_feminine","selected","L0","participant","cor","sem_dissim_z","FAM",-0.0205855281013193
"fam_us_feminine","selected","L0","participant","cor","vis_dissim_z","FAM",-0.125583644402938
"fam_us_feminine","selected","L0","participant","cor","(Intercept)","SXF",0.125918819806626
"fam_us_feminine","selected","L0","participant","cor","sem_dissim_z","SXF",0.467923214073453
"fam_us_feminine","selected","L0","participant","cor","vis_dissim_z","SXF",0.472041349512973
"fam_us_feminine","selected","L0","participant","cor","FAM","SXF",0.274958114813877
"fam_us_feminine","selected","L0","participant","cor","(Intercept)","VXF",0.123815750771416
"fam_us_feminine","selected","L0","participant","cor","sem_dissim_z","VXF",-0.0252443374712092
"fam_us_feminine","selected","L0","participant","cor","vis_dissim_z","VXF",-0.144778026847522
"fam_us_feminine","selected","L0","participant","cor","FAM","VXF",0.580441748071049
"fam_us_feminine","selected","L0","participant","cor","SXF","VXF",0.411503266652024
"fam_us_feminine","selected","L0","target1","sd","(Intercept)",NA,1.2308041754927
"fam_us_feminine","selected","L0","target1","sd","sem_dissim_z",NA,0.956162061514762
"fam_us_feminine","selected","L0","target1","sd","vis_dissim_z",NA,0.390837261168293
