"label","fit","level","group","type","term1","term2","value"
"fam_us_traitspace","selected","L0","participant","sd","(Intercept)",NA,1.05817957315574
"fam_us_traitspace","selected","L0","participant","sd","sem_dissim_z",NA,0.168718904564559
"fam_us_traitspace","selected","L0","participant","sd","vis_dissim_z",NA,0.119827448679226
"fam_us_traitspace","selected","L0","participant","sd","FAM",NA,0.200948525985064
"fam_us_traitspace","selected","L0","participant","sd","SXF",NA,0.0740312241062221
"fam_us_traitspace","selected","L0","participant","sd","VXF",NA,0.0436884498880098
"fam_us_traitspace","selected","L0","participant","cor","(Intercept)","sem_dissim_z",0.115884928719437
"fam_us_traitspace","selected","L0","participant","cor","(Intercept)","vis_dissim_z",0.00437040244575662
"fam_us_traitspace","selected","L0","participant","cor","sem_dissim_z","vis_dissim_z",0.678399428755222
"fam_us_traitspace","selected","L0","participant","cor","(Intercept)","FAM",0.0429333958223484
"fam_us_traitspace","selected","L0","participant","cor","sem_dissim_z","FAM",-0.0311196277241575
"fam_us_traitspace","selected","L0","participant","cor","vis_dissim_z","FAM",-0.032217127373621
"fam_us_traitspace","selected","L0","participant","cor","(Intercept)","SXF",-0.0601828875294716
"fam_us_traitspace","selected","L0","participant","cor","sem_dissim_z","SXF",0.0822619486369331
"fam_us_traitspace","selected","L0","participant","cor","vis_dissim_z","SXF",0.169508202040063
"fam_us_traitspace","selected","L0","participant","cor","FAM","SXF",0.0982756726592491
"fam_us_traitspace","selected","L0","participant","cor","(Intercept)","VXF",-0.00860255320596451
"fam_us_traitspace","selected","L0","participant","cor","sem_dissim_z","VXF",-0.103862339894015
"fam_us_traitspace","selected","L0","participant","cor","vis_dissim_z","VXF",-0.238467544214088
"fam_us_traitspace","selected","L0","participant","cor","FAM","VXF",-0.130195296179535
"fam_us_traitspace","selected","L0","participant","cor","SXF","VXF",-0.0500538286482293
"fam_us_traitspace","selected","L0","target1","sd","(Intercept)",NA,0.642845478763608
"fam_us_traitspace","selected","L0","target1","sd","sem_dissim_z",NA,0.520248140384912
"fam_us_traitspace","selected","L0","target1","sd","vis_dissim_z",NA,0.332846786510391
"fam_us_traitspace","selected","L0","target1","sd","FAM",NA,0.108257898773306
"fam_us_traitspace","selected","L0","target1","sd","SXF",NA,0.0986548490136842
"fam_us_traitspace","selected","L0","target1","sd","VXF",NA,0.0856060578056542
