"label","fit","level","group","type","term1","term2","value"
"fam_us_warm","selected","L0","participant","sd","(Intercept)",NA,0.450061935890711
"fam_us_warm","selected","L0","participant","sd","sem_dissim_z",NA,0.0966523740256324
"fam_us_warm","selected","L0","participant","sd","vis_dissim_z",NA,0.061063842145417
"fam_us_warm","selected","L0","participant","sd","FAM",NA,0.158399610962683
"fam_us_warm","selected","L0","participant","sd","SXF",NA,0.0657883691570639
"fam_us_warm","selected","L0","participant","sd","VXF",NA,0.0303391475301777
"fam_us_warm","selected","L0","participant","cor","(Intercept)","sem_dissim_z",0.183918278332957
"fam_us_warm","selected","L0","participant","cor","(Intercept)","vis_dissim_z",0.159851662302943
"fam_us_warm","selected","L0","participant","cor","sem_dissim_z","vis_dissim_z",0.438217652758364
"fam_us_warm","selected","L0","participant","cor","(Intercept)","FAM",0.034689537975701
"fam_us_warm","selected","L0","participant","cor","sem_dissim_z","FAM",0.0243980822889419
"fam_us_warm","selected","L0","participant","cor","vis_dissim_z","FAM",-0.0354317940147424
"fam_us_warm","selected","L0","participant","cor","(Intercept)","SXF",0.0350066693991533
"fam_us_warm","selected","L0","participant","cor","sem_dissim_z","SXF",0.101854777341084
"fam_us_warm","selected","L0","participant","cor","vis_dissim_z","SXF",0.077232006450421
"fam_us_warm","selected","L0","participant","cor","FAM","SXF",0.276365796664381
"fam_us_warm","selected","L0","participant","cor","(Intercept)","VXF",-0.0550833032390822
"fam_us_warm","selected","L0","participant","cor","sem_dissim_z","VXF",-0.146231696699225
"fam_us_warm","selected","L0","participant","cor","vis_dissim_z","VXF",-0.28711029406159
"fam_us_warm","selected","L0","participant","cor","FAM","VXF",0.161995603732793
"fam_us_warm","selected","L0","participant","cor","SXF","VXF",0.0730753538619155
"fam_us_warm","selected","L0","target1","sd","(Intercept)",NA,0.155744270509902
"fam_us_warm","selected","L0","target1","sd","sem_dissim_z",NA,0.125100222439681
"fam_us_warm","selected","L0","target1","sd","vis_dissim_z",NA,0.0771805578614096
"fam_us_warm","selected","L0","target1","sd","FAM",NA,0.0480811879542044
"fam_us_warm","selected","L0","target1","sd","SXF",NA,0.0254210368947368
"fam_us_warm","selected","L0","target1","sd","VXF",NA,0.0211685281839814
"fam_us_warm","selected","L0","target1","cor","(Intercept)","sem_dissim_z",-0.0490088264910594
"fam_us_warm","selected","L0","target1","cor","(Intercept)","vis_dissim_z",0.111804390931737
"fam_us_warm","selected","L0","target1","cor","sem_dissim_z","vis_dissim_z",0.0863651662780251
"fam_us_warm","selected","L0","target1","cor","(Intercept)","FAM",0.332487876382425
"fam_us_warm","selected","L0","target1","cor","sem_dissim_z","FAM",-0.114184042958827
"fam_us_warm","selected","L0","target1","cor","vis_dissim_z","FAM",-0.128812816080669
"fam_us_warm","selected","L0","target1","cor","(Intercept)","SXF",-0.0164479982354691
"fam_us_warm","selected","L0","target1","cor","sem_dissim_z","SXF",-0.33082576751912
"fam_us_warm","selected","L0","target1","cor","vis_dissim_z","SXF",-0.192488574246209
"fam_us_warm","selected","L0","target1","cor","FAM","SXF",-0.370368987585628
"fam_us_warm","selected","L0","target1","cor","(Intercept)","VXF",0.240833858600291
"fam_us_warm","selected","L0","target1","cor","sem_dissim_z","VXF",-0.266694885112145
"fam_us_warm","selected","L0","target1","cor","vis_dissim_z","VXF",-0.0528896177122862
"fam_us_warm","selected","L0","target1","cor","FAM","VXF",0.622963836554777
"fam_us_warm","selected","L0","target1","cor","SXF","VXF",-0.0628174587403888
"fam_us_warm","selected","L0","target2","sd","(Intercept)",NA,0.120477421907239
"fam_us_warm","selected","L0","target2","sd","sem_dissim_z",NA,0.102225965633113
"fam_us_warm","selected","L0","target2","sd","vis_dissim_z",NA,0.0630680126039304
