"label","fit","level","group","type","term1","term2","value"
"fam_us_youthful","selected","L0","participant","sd","(Intercept)",NA,0.337019502704851
"fam_us_youthful","selected","L0","participant","sd","sem_dissim_z",NA,0.0786551194137563
"fam_us_youthful","selected","L0","participant","sd","vis_dissim_z",NA,0.0682546517402548
"fam_us_youthful","selected","L0","participant","sd","FAM",NA,0.122215140138477
"fam_us_youthful","selected","L0","participant","sd","SXF",NA,0.043055165341337
"fam_us_youthful","selected","L0","participant","sd","VXF",NA,0.0197430325382862
"fam_us_youthful","selected","L0","participant","cor","(Intercept)","sem_dissim_z",0.124076844842
"fam_us_youthful","selected","L0","participant","cor","(Intercept)","vis_dissim_z",0.335716186187382
"fam_us_youthful","selected","L0","participant","cor","sem_dissim_z","vis_dissim_z",0.0164770776830543
"fam_us_youthful","selected","L0","participant","cor","(Intercept)","FAM",0.172645221768988
"fam_us_youthful","selected","L0","participant","cor","sem_dissim_z","FAM",0.166133979680094
"fam_us_youthful","selected","L0","participant","cor","vis_dissim_z","FAM",0.037382612342127
"fam_us_youthful","selected","L0","participant","cor","(Intercept)","SXF",-0.0927681852057015
"fam_us_youthful","selected","L0","participant","cor","sem_dissim_z","SXF",-0.184786317105913
"fam_us_youthful","selected","L0","participant","cor","vis_dissim_z","SXF",0.0702254063901782
"fam_us_youthful","selected","L0","participant","cor","FAM","SXF",0.202745758309809
"fam_us_youthful","selected","L0","participant","cor","(Intercept)","VXF",0.328022219480553
"fam_us_youthful","selected","L0","participant","cor","sem_dissim_z","VXF",-0.220763413161736
"fam_us_youthful","selected","L0","participant","cor","vis_dissim_z","VXF",-0.337770927730807
"fam_us_youthful","selected","L0","participant","cor","FAM","VXF",0.642630744127132
"fam_us_youthful","selected","L0","participant","cor","SXF","VXF",0.212142771157623
"fam_us_youthful","selected","L0","target1","sd","(Intercept)",NA,0.352758139866473
"fam_us_youthful","selected","L0","target1","sd","sem_dissim_z",NA,0.2234366733231
"fam_us_youthful","selected","L0","target1","sd","vis_dissim_z",NA,0.376128161026875
"fam_us_youthful","selected","L0","target1","sd","FAM",NA,0.0492191095792651
"fam_us_youthful","selected","L0","target1","sd","SXF",NA,0.0671640940828083
"fam_us_youthful","selected","L0","target1","sd","VXF",NA,0.0459991108892765
"fam_us_youthful","selected","L0","target1","cor","(Intercept)","sem_dissim_z",-0.0116082991712187
"fam_us_youthful","selected","L0","target1","cor","(Intercept)","vis_dissim_z",0.416932389867733
"fam_us_youthful","selected","L0","target1","cor","sem_dissim_z","vis_dissim_z",0.349697097947102
"fam_us_youthful","selected","L0","target1","cor","(Intercept)","FAM",-0.143663282080404
"fam_us_youthful","selected","L0","target1","cor","sem_dissim_z","FAM",0.349888091861738
"fam_us_youthful","selected","L0","target1","cor","vis_dissim_z","FAM",0.401297051955488
"fam_us_youthful","selected","L0","target1","cor","(Intercept)","SXF",-0.17405051392306
"fam_us_youthful","selected","L0","target1","cor","sem_dissim_z","SXF",-0.420009929931788
"fam_us_youthful","selected","L0","target1","cor","vis_dissim_z","SXF",0.0682026776493649
"fam_us_youthful","selected","L0","target1","cor","FAM","SXF",0.0466618359649076
"fam_us_youthful","selected","L0","target1","cor","(Intercept)","VXF",-0.0528331261530124
"fam_us_youthful","selected","L0","target1","cor","sem_dissim_z","VXF",0.108285161530734
"fam_us_youthful","selected","L0","target1","cor","vis_dissim_z","VXF",0.281643243297694
"fam_us_youthful","selected","L0","target1","cor","FAM","VXF",0.468377025665949
