label,fit,level,n,secs,conv_code,conv_msg,pdHess,max_abs_grad,hess_cond,logLik,AIC,npar,sigma,sem,sem_se,sem_z,sem_p,vis,vis_se,vis_z,vis_p,fam_sd,warnings,int_lrt_chisq,int_lrt_df,int_lrt_p
fam_cn_attractive,selected,L0,381419,1176.03865528107,0,relative convergence (4),True,0.917320932879274,303797.04588317,-646254.660330256,1292651.32066051,71,1.30525511388553,-0.0066042420321905,0.0105542372258744,-0.625743186442673,0.531483401841482,-0.0027853749906843,0.0111601685932671,-0.249581802228753,0.802910773020669,1.54098733148209,,0.594325232552364,2.0,0.742923191135625
fam_cn_attractive,nointer,L0,381419,1040.83774709702,0,relative convergence (4),True,0.291873622290001,303583.453999081,-646254.957492872,1292647.91498574,69,1.30525605919031,,,,,,,,,1.54098733148209,,,,
fam_cn_charismatic,selected,L0,378918,1390.05697107315,0,relative convergence (4),True,1.00305524946227,1680626.85310518,-630491.376215717,1261124.75243143,71,1.26723845648006,-0.0258863857551317,0.0102565656902506,-2.52388436216404,0.01160661011084,0.0057055598038821,0.0074684335854132,0.763956690332734,0.444893052367915,1.53999932771746,,6.35505857528187,2.0,0.041688528345983
fam_cn_charismatic,nointer,L0,378918,1193.06501698494,0,relative convergence (4),True,0.524850969342163,1530552.28702847,-630494.553745005,1261127.10749001,69,1.26724045928845,,,,,,,,,1.53999932771746,,,,
fam_cn_competent,selected,L0,374705,1268.1588973999,0,relative convergence (4),True,1.25672876911143,12964795.4175818,-574391.749281738,1148925.49856348,71,1.11129324299055,0.044146447854142,0.0094468481719035,4.67314040099013,2.96628840210546e-06,-0.0061455420232143,0.0068249093808171,-0.900457673546214,0.36787674049731,1.53715716985646,,20.2655132608488,2.0,3.97557278486138e-05
fam_cn_competent,nointer,L0,374705,990.292580366135,0,relative convergence (4),True,0.509806548242663,1402167.52399208,-574401.882038368,1148941.76407674,69,1.11128222774997,,,,,,,,,1.53715716985646,,,,
fam_cn_critical,selected,L2,379789,620.778700113297,0,relative convergence (4),True,0.211415426489634,54260.3311828383,-658437.590142592,1316957.18028518,41,1.36064736236081,0.009594987068302,0.005867291149776,1.63533508451652,0.101978822578607,-0.0046088892227108,0.0043087595718573,-1.06965569692349,0.284774314915774,1.53699262333204,,3.16345112444833,2.0,0.205619981832117
fam_cn_critical,nointer,L2,379789,516.25040769577,0,relative convergence (4),True,1.20707602861971,54346.4123083261,-658439.171868155,1316956.34373631,39,1.36065313719396,,,,,,,,,1.53699262333204,,,,
fam_cn_critical,L0,L0,379789,1280.44895887375,1,singular convergence (7),True,1.43739473817733,576942253000.837,-658029.834887974,1316201.66977595,71,1.35878305935849,0.0266372181626213,0.0098774608405944,2.69676778197364,0.0070016077605287,-0.0086472062895668,0.0060958890084307,-1.41853079634612,0.156035854089387,1.53699262333204,"Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",,,
fam_cn_feminine,selected,L0,373388,1089.90013599396,0,relative convergence (4),True,0.34725651086352,350162.776322927,-703988.494879275,1408118.98975855,71,1.58217432178801,0.0353417163629992,0.0377760733903525,0.935558230147472,0.349500689119725,0.0412312235593716,0.0279925342322587,1.47293643431028,0.140768176634288,1.53594292837642,,4.41532970406115,2.0,0.109957115089296
fam_cn_feminine,nointer,L0,373388,940.208157777786,0,relative convergence (4),True,0.710801889830951,354029.462321065,-703990.702544127,1408119.40508825,69,1.58217437470017,,,,,,,,,1.53594292837642,,,,
fam_cn_practical,selected,L1,378854,827.402550458908,0,relative convergence (4),True,0.382085640932728,113476.186506534,-604113.723376068,1208325.44675214,49,1.18241434591283,0.0483597732342783,0.0060710250213846,7.96566857555931,1.6433283914611802e-15,-0.0047528199141702,0.0050461472532681,-0.941871030634712,0.346258673417048,1.53795901193852,,64.7243731191847,2.0,8.816190276968111e-15
fam_cn_practical,nointer,L1,378854,764.971352577209,0,relative convergence (4),True,2.00019628809081,110054.733627755,-604146.085562627,1208386.17112525,47,1.18244234528865,,,,,,,,,1.53795901193852,,,,
fam_cn_practical,L0,L0,378854,1356.62369251251,1,singular convergence (7),True,0.563794249224014,1206134516993.59,-604037.824473963,1208217.64894793,71,1.18207700895356,0.0430230493466546,0.0075310654822494,5.71274402646727,1.11168834801777e-08,-0.0117701956682302,0.0062417917992564,-1.88570782986262,0.0593343371940823,1.53795901193852,"Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",,,
fam_cn_strong,selected,L0,383109,1304.4446117878,0,relative convergence (4),True,0.0988925024978266,429534.502605353,-610941.109553551,1222024.2191071,71,1.18170757127113,0.0230790720499756,0.0118736983272346,1.94371386352636,0.0519299658798889,-0.002949671392079,0.0114110865559885,-0.258491720101014,0.796027438253816,1.53884523692885,,3.65699078864418,2.0,0.160655108606347
fam_cn_strong,nointer,L0,383109,1060.35265469551,0,relative convergence (4),True,0.0954818422576559,400040.833632626,-610942.938048946,1222023.87609789,69,1.18170043060097,,,,,,,,,1.53884523692885,,,,
fam_cn_traitspace,selected,L0,389137,1228.98786473274,0,relative convergence (4),True,0.185188723964861,147774.705298071,-766944.309689132,1534030.61937826,71,1.71964701801567,0.0535780198271361,0.0197972332137941,2.70633877211713,0.0068029607218349,0.0282932539074715,0.0158072583501397,1.78989001639373,0.0734715941264978,1.53973362266079,,16.4695926990826,2.0,0.0002652609897815
fam_cn_traitspace,nointer,L0,389137,1065.93737530708,0,relative convergence (4),True,0.73643974306908,132436.352338872,-766952.544485482,1534043.08897096,69,1.71963681742356,,,,,,,,,1.53973362266079,,,,
fam_cn_trustworthy,selected,L0,381025,1464.34820795059,0,relative convergence (4),True,0.388882523470698,10024226048.5543,-612995.060035313,1226132.12007063,71,1.20000368026857,0.0204244420507294,0.0077475457486231,2.63624671778918,0.0083828756422682,-0.0028799170827541,0.0059098543403903,-0.487307625007212,0.626040344965332,1.54060091414864,,6.89333652239293,2.0,0.0318515809384301
fam_cn_trustworthy,nointer,L0,381025,1323.64575958252,0,relative convergence (4),True,0.220018495102596,207961731223.259,-612998.506703574,1226135.01340715,69,1.20000721743328,,,,,,,,,1.54060091414864,,,,
fam_cn_warm,selected,L1,381067,743.099013328552,0,relative convergence (4),True,0.436375985337502,67164.4961750553,-633639.364113103,1267376.72822621,49,1.2676669271512,-0.0074744466298193,0.0064918861026653,-1.15135208961083,0.249587415594483,0.0060756573734263,0.00428157891361,1.41902263067332,0.155892418382005,1.54135001299354,,2.36084994208068,2.0,0.307148181779313
