dataset,term,vif,r2_on_others
us,sem_dissim_z,1.048885083877794,0.046606710905891524
us,vis_dissim_z,1.0344864786536787,0.033336809484992735
us,FAM,1.4432687694526125,0.30712835948132566
us,SXF,1.0743795925717494,0.06923027306736762
us,VXF,1.0377092755568524,0.03633895971163692
us,FD,1.4146988094522603,0.2931357591322371
us,(sem-vis correlation),,0.18219615786034582
cn,sem_dissim_z,1.195222567967258,0.16333574448755372
cn,vis_dissim_z,1.166486676681662,0.14272488491276336
cn,FAM,1.2641308646207519,0.20894265935037748
cn,SXF,1.165435718699012,0.14195181771474252
cn,VXF,1.1659080902748835,0.14229945881563244
cn,FD,1.260759934350101,0.20682758647824417
cn,(sem-vis correlation),,0.37315773426640675
