trait,dataset,split,n_celebrities,sem_model,vis_model,rsa_sem_r,rsa_sem_p,rsa_vis_r,rsa_vis_p,partial_sem_r,partial_sem_p,partial_vis_r,partial_vis_p,unique_sem,unique_vis,shared,total_r2,panel
warm,us,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.0826522193955958,0.1209758048390322,0.0551024882470238,0.1375724855028994,0.0741513048938988,0.1765646870625875,0.0433378767493946,0.2383523295340932,0.0057406505043468,0.0045530449285081,0.0022772921827501,0.0125709876156051,US
critical,us,all,50,GPT_wiki_cosine,VGGFace2_cosine,-0.0772849041737412,0.1943611277744451,0.0009543523787236,0.981003799240152,-0.0785293954449642,0.1927614477104579,0.021406481026342,0.587882423515297,0.0091466443087727,0.0017955227831454,-0.0011507754598022,0.0097913916321159,US
competent,us,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.1080215252626687,0.1077784443111377,0.0163576883162977,0.6982603479304139,0.1072623241792638,0.1145770845830833,0.0005242292675634,0.9878024395120976,0.0187631768229469,2.782837994486087e-07,0.0006699909412929,0.0194334460480393,US
practical,us,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.0835276296489231,0.1671665666866626,0.0936685736181398,0.0167966406718656,0.0689500661602324,0.2599480103979204,0.0796308670287038,0.0465906818636272,0.0067481924004099,0.006392209524871,0.0029226829733486,0.0160630848986296,US
feminine,us,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.3407530581563783,0.0001999600079984,0.2434295092317996,0.0001999600079984,0.3151579391952539,0.0001999600079984,0.2112324603577156,0.0001999600079984,0.0923415902288689,0.0500948060720027,0.0304840322472353,0.172920428548107,US
strong,us,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.1768789081701196,0.0067986402719456,0.1861824928767306,0.0003999200159968,0.1419612608501802,0.025994801039792,0.1540962225020513,0.0001999600079984,0.0270230817441111,0.0273499782483699,0.0120972057722852,0.0664702657647663,US
youthful,us,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.0646691516804428,0.2913417316536693,0.1643998448573437,0.0003999200159968,0.0336098028118261,0.5870825834833033,0.1580901398079623,0.0001999600079984,0.001097356440988,0.0327130030380243,0.0034138234700881,0.0372241829491005,US
charismatic,us,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.049404890911348,0.4313137372525495,0.0606838724419094,0.1239752049590082,0.0417049168770281,0.5108978204359128,0.051103129669486,0.1911617676464707,0.0018964392354442,0.0021537163322401,0.0008995741135515,0.0049497296812359,US
warm,cn,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,-0.0877318271116989,0.0913817236552689,-0.0410509817011665,0.2571485702859428,-0.066867099205098,0.2375524895020996,-0.0068818261399176,0.8674265146970606,0.0072200286350827,8.611357415477805e-06,0.001394645715159,0.0086232857076572,China
critical,cn,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1881350249170537,0.0027994401119776,0.1053881307178116,0.0071985602879424,0.1565557120074783,0.0123975204959008,0.0409490190856114,0.3457308538292341,0.0271755552219916,0.000229743533694,0.0066395944357262,0.034044893191412,China
competent,cn,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1229071608046856,0.0117976404719056,0.1744014360171615,0.0001999600079984,0.0667917215825971,0.1649670065986802,0.1367127340332544,0.000999800039992,0.0066024530514796,0.0237739233457474,0.0158546949943743,0.0462310713916014,China
practical,cn,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2113492272593288,0.0003999200159968,0.2673006753616695,0.0001999600079984,0.1317032914307647,0.0031993601279744,0.2091073231902875,0.0001999600079984,0.0182478885647098,0.0440393850199104,0.034824254594113,0.0971115281787333,China
feminine,cn,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2387840748044731,0.0003999200159968,0.6179734471276275,0.0001999600079984,0.0263081676389968,0.3389322135572885,0.5705976485210724,0.0001999600079984,0.0001124350232076,0.294369151933376,0.0529808079934283,0.3474623949500119,China
strong,cn,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.1744981394246025,0.002999400119976,0.3598923795940515,0.0001999600079984,0.0601690333555934,0.2955408918216357,0.2996922292571188,0.0001999600079984,0.0079846176712276,0.1011531483593612,0.042518477221229,0.1516562432518179,China
young,cn,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.3888082978340056,0.0001999600079984,0.3627634654604532,0.0001999600079984,0.2869494225096237,0.0001999600079984,0.2542581992013771,0.0001999600079984,0.0832349140826385,0.0619037646936353,0.0861298197842493,0.2312684985605232,China
charismatic,cn,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0929083907162107,0.0897820435912817,0.1127149692680659,0.0043991201759648,0.053912775550677,0.3577284543091382,0.0869337490297913,0.0391921615676864,0.0062612466114861,0.0090864381902522,0.0090661816207053,0.0244138664224438,China
trustworthy,cn,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.0054128769013659,0.905618876224755,0.0325376934168625,0.3385322935412917,0.0098713743246074,0.8284343131373725,0.025112309197741,0.4783043391321736,0.000162075979458,0.0006680525880513,0.0004216738401008,0.0012518024076102,China
attractive,cn,all,50,GPT_first_substantive_large_cosine,VGGFace2_cosine,0.2711097703101454,0.0001999600079984,0.3530381735274088,0.0001999600079984,0.1566961140084092,0.0071985602879424,0.2887410624935129,0.0001999600079984,0.0279631674389788,0.0822692113120074,0.0597099949532448,0.1699423737042311,China
